"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,65.7671569926268,80.7743452282208,106,0.706666666666667,46,26306.8627970507
2,75.0964755038437,80.5892146455454,133,0.886666666666667,19,30038.5902015375
3,75.0961837430134,80.6058487045847,133,0.886666666666667,19,30038.4734972054
4,75.0916738408609,80.6017429025984,133,0.886666666666667,19,30036.6695363444
5,75.0973921227281,80.5953466636025,133,0.886666666666667,19,30038.9568490912
6,75.0941652847294,80.5955018064718,133,0.886666666666667,19,30037.6661138918
7,75.0890995723795,80.6011319197987,133,0.886666666666667,19,30035.6398289518
8,75.0884852281988,80.5871761736826,133,0.886666666666667,19,30035.3940912795
9,75.0920757527845,80.6005471146208,133,0.886666666666667,19,30036.8303011138
10,75.0865763891107,80.5944853655028,133,0.886666666666667,19,30034.6305556443
11,8.05794489629895,8.05794489629895,0,0,NA,3223.17795851958
