"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,88.1029734933245,89.1418386753873,54.4947519613255,65.6253522009678,35241.1893973298,21797.9007845302,151,1.00666666666667,1,0,0,NA
2,84.7135344211319,88.6698489484464,60.0778196969213,65.7205121563432,33885.4137684527,24031.1278787685,142,0.946666666666667,10,0,0,NA
3,84.7021747242617,88.6835854783908,60.0929255964827,65.7223371835679,33880.8698897047,24037.1702385931,142,0.946666666666667,10,0,0,NA
4,84.701686707609,88.68881713568,60.0910510081062,65.7217643590938,33880.6746830436,24036.4204032425,142,0.946666666666667,10,0,0,NA
5,84.702100486373,88.6756860330655,60.0940312877467,65.7233844411285,33880.8401945492,24037.6125150987,142,0.946666666666667,10,0,0,NA
6,84.7010197390217,88.6703934969711,60.092939386333,65.7256391630341,33880.4078956087,24037.1757545332,142,0.946666666666667,10,0,0,NA
7,84.6998977672906,88.6759360867603,60.0933961724513,65.7248748973045,33879.9591069163,24037.3584689805,142,0.946666666666667,10,0,0,NA
8,84.6979754542652,88.6804717852925,60.0925227118924,65.7225913052612,33879.1901817061,24037.0090847569,142,0.946666666666667,10,0,0,NA
9,84.6977268703244,88.691902796991,60.0933591142256,65.7211836657469,33879.0907481297,24037.3436456903,142,0.946666666666667,10,0,0,NA
10,84.7004065132184,88.6754922594413,60.0916414536362,65.718522766019,33880.1626052874,24036.6565814545,142,0.946666666666667,10,0,0,NA
11,8.82072035136092,8.82072035136092,6.57162267710245,6.57162267710245,3528.28814054437,2628.64907084098,0,0,NA,0,0,NA
