"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
1501,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,1,1,100.0705128,5,5,100.0064061,624,3122,0,0,0,62444,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",1.70986667428171,0.180663528286489,0.196415978469974,0.131927509330373,99.9054132641504,98.4128359620925,98.9760469584801,97.9470672162657,1.48755084077616,2.79836179655698,2.84394400235376,2.88922598969787
1502,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,1,1,100.0705128,5,5,100.0064061,624,3122,0,0,0,62444,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",5.62960181361703,8.40807887293686,12.5343965613544,16.4629513017699,92.9325038797427,90.0187136536381,86.1235820807451,82.7408091541812,1.4058791039589,1.22285231195052,0.652688852975275,0.303902922137241
1503,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,1,1,100.0705128,5,5,100.0064061,624,3122,0,0,0,62444,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",1.55169016754113,0.300878328798992,0.201691291147638,0.257409730789487,99.9022469537552,89.3747975042712,99.7600915397614,99.5845256276507,1.39155502151572,2.45877321987889,2.08936184661581,2.24662400791202
1504,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,1,1,100.0705128,5,5,100.0064061,624,3122,0,0,0,62444,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",6.78947501117091,11.4689969013136,16.5481146524589,20.9398997575723,89.3329603121144,86.4892910866794,81.1863595844455,74.3426733395269,1.29725411036509,0.775599702442349,0.319301279254506,0.113961350378909
1505,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,1,1,100.32,5,5,99.92031873,100,502,0,0,0,10032,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",7.36334603636528,0.135222000172789,0.0109003847341355,0.00260836803980794,99.4842900810031,99.6710526315789,98.3049980742538,99.6710526315789,1.03503335381579,2.8962199441503,2.92000911127548,2.87535861084415
1506,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,1,1,100.32,5,5,99.92031873,100,502,0,0,0,10032,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",6.49801542891177,2.95172290393278,2.4414243043215,1.19264880438688,94.5844624443494,95.1152015807849,98.2195760778056,99.6710526315789,1.16236762950627,1.98409767016036,2.14602261504817,2.56838409360552
1507,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,1,1,100.32,5,5,99.92031873,100,502,0,0,0,10032,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",3.09361889669944,0.0866978726953319,0.00073516121444396,0.00119806875709728,99.6710526315789,99.6710526315789,96.6239164887494,99.6710526315789,1.54136836838253,2.64368587243196,2.74493217905675,2.80337971466168
1508,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,1,1,100.32,5,5,99.92031873,100,502,0,0,0,10032,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",4.57910198584484,3.57306854319218,5.22693169887226,3.63384553515733,97.1915621721299,95.7183483766385,95.8733397795281,99.6705163158453,1.26800402443372,2.03732838671218,1.68244608995536,1.87514301648677
1509,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,1,1,100.1111111,5,5,100.0222025,225,1126,0,0,0,22525,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",1.44508128816462,0.0626576494772064,0.0892972995166031,0.0981268654189735,99.8002219755827,99.8002219755827,99.8002219755827,99.8002219755827,1.52438523148759,2.5694233698731,2.9398395598379,2.899943755155
1510,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,1,1,100.1111111,5,5,100.0222025,225,1126,0,0,0,22525,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",3.84479241406967,4.76229233588879,5.44997427937803,3.76743627191326,96.4422744501243,94.6184588305259,98.4775946679072,99.663442352331,1.46895927201111,1.96357740295005,1.58958740197573,1.92417392100754
1511,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,1,1,100.1111111,5,5,100.0222025,225,1126,0,0,0,22525,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",1.64774151824832,0.082700639805371,0.0373172331799837,0.012846879679629,99.787764874596,99.1685402334953,98.8836174522841,86.8478895719037,1.45181352784791,2.73653722640862,2.72538870232188,2.51418621027787
1512,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,1,1,100.1111111,5,5,100.0222025,225,1126,0,0,0,22525,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",3.95064163964307,4.22101636983514,5.84839837897392,9.75489190069026,86.9761248525413,97.1644634939296,94.8495805483182,89.0699335779755,1.45096060000617,1.74115959706533,1.39024323654312,0.945980775467455
