"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
4803,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,5,5,100.0064061,5,5,100.0064061,3122,3122,0,0,0,312220,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",23.9138088090388,8.3017815368426,6.39507549138874,5.83364910747833,93.0180832640052,96.7766158094351,95.2002097338591,96.7506778452174,0.0442593112301464,0.0977658358738851,0.107180575045188,0.116856307944112
4804,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,5,5,100.0064061,5,5,100.0064061,3122,3122,0,0,0,312220,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",31.6175721048498,42.1690126032412,85.6741401450177,99.6892762593759,81.0714655165992,33.8230469963127,5.62327621352238,0.504093425561736,0.0172434752817884,0.00141054006996225,3.87625416392393e-07,9.99048955803133e-09
4807,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,5,5,99.92031873,5,5,99.92031873,502,502,0,0,0,50160,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",53.0805232294968,55.6646828900918,20.9799247521249,11.269812161535,33.7315184464068,83.8050302771196,95.1030219235528,91.9008563695725,0.000381503645707907,0.00467948471634752,0.0750649520441851,0.0762165549214046
4808,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,5,5,99.92031873,5,5,99.92031873,502,502,0,0,0,50160,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",74.1180657712131,98.13836487437,99.6710526315789,99.6710526315789,19.5142700319057,4.02507137033512,0.227347003340333,0.0153687790406906,2.49148526483325e-05,9.95712365811355e-09,9.93431873268698e-09,9.96710526315789e-09
4811,175,175,45,45,"cross",22525,"med2",NA,1,120,4,4,1,4,5,5,100.0222025,5,5,100.0222025,1126,1126,0,0,0,112625,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",27.7294570519453,9.94770454878898,9.32088904225963,6.22592046555295,90.7892391579624,94.0388845637463,93.5377952895493,97.9653708731211,0.0286134673384409,0.0922148189680503,0.0716341090315306,0.117432375101425
4812,175,175,45,45,"cross",22525,"med2",NA,1,120,4,4,1,4,5,5,100.0222025,5,5,100.0222025,1126,1126,0,0,0,112625,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",51.6960338720379,82.8262372275524,99.14629726999,99.8002219755827,42.137764386667,11.231702533165,1.44436862824361,0.0825563627892749,0.00105854660240655,1.0227546743027e-06,9.94858610359678e-09,9.98002219755827e-09
4815,30,30,11,11,"cross",416,"small",NA,1,120,4,4,1,4,5,5,99.04761905,5,5,99.04761905,21,21,0,0,0,2080,2080,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A2",85.3013468236674,97.3557692307692,97.3557692307692,97.3557692307692,9.27524952683244,0.809848441016365,0.0498587576289293,0.00372890137150232,5.57341428070762e-07,9.73557692307692e-09,9.47814580251480e-09,9.73557692307692e-09
4816,30,30,11,11,"cross",416,"small",NA,1,120,4,4,1,4,5,5,99.04761905,5,5,99.04761905,21,21,0,0,0,2080,2080,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A2",73.2016059813323,97.3557692307692,97.3557692307692,97.3557692307692,14.4378179563761,1.60373253219355,0.0972871995897736,0.00712985231521765,4.15179172124991e-06,9.73557692307692e-09,9.47814580251480e-09,9.73557692307692e-09
4819,351,350,91,90,"cross",90090,"XL",NA,1,120,4,4,1,4,5,5,99.98890122,5,5,99.98890122,4505,4505,0,0,0,450450,450450,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.25,0.25,0.25,0.25,"all",600,10,"A2",21.2784016714021,7.74793895651045,5.58125402833218,5.44797994228662,94.7477882927295,95.8747941638288,97.4005729782182,94.7966092547991,0.050326141874587,0.10616222971028,0.12002706050771,0.112038928752224
4820,351,350,91,90,"cross",90090,"XL",NA,1,120,4,4,1,4,5,5,99.98890122,5,5,99.98890122,4505,4505,0,0,0,450450,450450,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.1,0.7,0.1,0.1,"up",600,10,"A2",33.1596988299447,48.557159391632,90.862792067913,99.7264081898329,79.5025742912851,26.5027950871046,4.84284403875439,0.356244503263448,0.0144333898036617,0.000612277689003154,3.83808562802874e-08,9.98930136970961e-09
4823,275,275,81,81,"eight",62503,"large",NA,1,120,4,4,1,4,5,5,100.0048,5,5,100.0048,3125,3125,0,0,0,312515,312515,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",19.5417339126625,8.63420347832162,7.7538275909983,6.16829570371327,95.0363027315445,94.6594391178493,96.2116491036134,96.5116179631308,0.0515887136608565,0.0939222953068702,0.0980806344988027,0.11319134166565
