"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
1201,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,1,1,100.0705128,5,5,100.0064061,624,3122,0,0,0,62444,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",4.25262455646003,0.926886019700322,1.35218002000274,3.28876887191865,97.79360883988,99.2396299232314,95.8304213795616,97.0881041922652,0.0998075332562587,0.158277743858238,0.157679250589949,0.122510906464261
1202,276,275,58,58,"cross",62444,"large",NA,1,120,4,4,1,4,1,1,100.0705128,5,5,100.0064061,624,3122,0,0,0,62444,312220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",7.39709129351052,11.0699464823824,16.2146149564969,24.2298289624971,91.2873325594819,86.8174037827819,78.0560107186766,59.2817196557984,0.0826795593126892,0.06748121773126,0.035644758987061,0.0133253094326098
1205,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,1,1,100.32,5,5,99.92031873,100,502,0,0,0,10032,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",10.7578539585193,3.44099735166878,2.425551932886,1.10627737681204,95.1994308067275,96.18459977472,98.761608574412,99.6499992872638,0.064332549333339,0.115150846237656,0.1291296285022,0.14564049754617
1206,121,120,34,33,"cross",10032,"med1",NA,1,120,4,4,1,4,1,1,100.32,5,5,99.92031873,100,502,0,0,0,10032,50160,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",21.8497697740214,13.2998429023298,9.9317678662206,11.9184631599901,84.6951134955377,91.0945993999797,90.832012188928,86.5736181043371,0.0337664227586771,0.0754790998075475,0.0722013469102038,0.056207170481794
1209,175,175,45,45,"cross",22525,"med2",NA,1,120,4,4,1,4,1,1,100.1111111,5,5,100.0222025,225,1126,0,0,0,22525,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",8.50108053873713,2.59115180501359,1.90613981175755,1.82348079870619,96.3262875868163,98.2466286593314,97.3183281254381,98.0853582953653,0.0714871743672809,0.14289160870183,0.144130939028515,0.143166592873317
1210,175,175,45,45,"cross",22525,"med2",NA,1,120,4,4,1,4,1,1,100.1111111,5,5,100.0222025,225,1126,0,0,0,22525,112625,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",14.1027652888544,13.6530119535471,20.499617074507,30.3247236861731,90.7877602689004,85.7822978485996,75.3337722791611,34.4595383641343,0.0570064331058738,0.0598798593171875,0.0210615301972053,0.00468952613389714
1213,30,30,11,11,"cross",416,"small",NA,1,120,4,4,1,4,1,1,104,5,5,99.04761905,4,21,0,0,0,416,2080,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A1",8.78790864570436,7.91559858694046,5.06253407534977,1.80581534584817,78.9804582077025,82.6800799923039,87.0344656394986,96.765448811165,0.073360968376733,0.0618341973744048,0.0722550950627131,0.0928956520716495
1214,30,30,11,11,"cross",416,"small",NA,1,120,4,4,1,4,1,1,104,5,5,99.04761905,4,21,0,0,0,416,2080,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A1",31.4380615877422,43.5272386627057,67.0905445794519,82.892610168752,55.6581478255997,13.8387389380872,5.40471686982056,1.3949134780936,0.011723569456851,0.00070606495107902,1.41919503046808e-05,1.11553110194012e-08
1217,351,350,91,90,"cross",90090,"XL",NA,1,120,4,4,1,4,1,1,99.98890122,5,5,99.98890122,901,4505,0,0,0,90090,450450,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,10,"A1",4.54497584923787,1.46490496656642,1.55398856980509,1.6573050998123,98.1681806570611,98.6628973414453,99.0442479104864,98.66142702745,0.0991608822550513,0.150227585332815,0.153471733847621,0.154770544582802
1218,351,350,91,90,"cross",90090,"XL",NA,1,120,4,4,1,4,1,1,99.98890122,5,5,99.98890122,901,4505,0,0,0,90090,450450,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.1,0.7,0.1,0.1,"up",600,10,"A1",9.24863517464243,13.4702266327567,20.3361156227016,29.3403372872488,88.0479094867374,82.6061404783715,73.6024884851156,36.1835408106276,0.0729707890600456,0.049952830336408,0.0222007336170504,0.00677888794961773
