"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
2401,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,1,1,100.0705128,15,15,99.99572969,624,9367,0,0,0,62444,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",0.29982486649478,0.194257158434927,0.222073393988224,0.210794077141849,99.6241052245769,99.4366275458977,97.4499578047912,99.0031697532252,0.476579032971827,0.515191542954749,0.519100013950824,0.523961569806046
2402,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,1,1,100.0705128,15,15,99.99572969,624,9367,0,0,0,62444,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",2.43692196404117,7.12075466851457,11.7445776320125,13.875898029142,95.140490505211,90.5229485763835,85.7788132230238,86.507211652346,0.321071435984314,0.307875675536948,0.244478740536908,0.242655588039007
2405,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,1,1,100.32,15,15,99.98671096,100,1505,0,0,0,10032,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",1.08981551508028,0.0943074574679978,0.0018528593044329,0.00114036217397715,99.6620379765989,99.6397869949966,99.6272079610563,99.6710526315789,0.374543728793734,0.564850435567194,0.52009113724637,0.624516149468222
2406,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,1,1,100.32,15,15,99.98671096,100,1505,0,0,0,10032,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",1.2223795580552,3.25047088604652,1.93118752249669,2.09628178489872,95.3579109583037,94.0524128203089,99.6102612180883,96.3991297264688,0.382688062924998,0.317938774538411,0.519132101636632,0.409121718315788
2409,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,1,1,100.1111111,15,15,99.99260136,225,3379,0,0,0,22525,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",0.462483134727204,0.102288046590162,0.265474096170232,0.141308342933496,99.150751589198,98.2295157145922,97.9368098818223,99.658368868,0.472965337734769,0.51299888220698,0.526094512330659,0.557983877400619
2410,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,1,1,100.1111111,15,15,99.99260136,225,3379,0,0,0,22525,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",0.73575391752407,0.552414368614233,0.630115349639271,0.82637549398355,95.3951359695098,98.1894322957939,98.001909653598,97.0819695555513,0.357542833178335,0.365451686580298,0.463856980329118,0.465469203549287
2413,30,30,11,11,"cross",416,"small",NA,1,120,4,7,1.75,4,1,1,104,15,15,100.6451613,4,62,0,0,0,416,6240,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A1",10.4069553948948,1.29016511176971,0.0799039231650587,0.000642925644772033,94.4694903881301,97.1634206837441,97.3557692307692,97.3557692307692,0.196995721464073,0.350498120648366,0.351348061299545,0.38314330673795
2414,30,30,11,11,"cross",416,"small",NA,1,120,4,7,1.75,4,1,1,104,15,15,100.6451613,4,62,0,0,0,416,6240,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A1",5.13535503264422,0.406989881870522,0.0165683046992669,0.000546205845876362,96.7979269329547,95.3195057922265,97.3557692307692,96.9817212066834,0.248587956472482,0.230422135779347,0.297700304125289,0.223381807333696
2417,351,350,91,90,"cross",90090,"XL",NA,1,120,4,7,1.75,4,1,1,99.98890122,15,15,99.99630013,901,13514,0,0,0,90090,1351350,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,10,"A1",0.285843443581382,0.33302920426845,0.472257850266633,0.606804548328294,99.0151395981458,99.401202173541,99.4105710147248,97.607809762771,0.453304912698527,0.485255646450611,0.548394467625019,0.463563341732358
2418,351,350,91,90,"cross",90090,"XL",NA,1,120,4,7,1.75,4,1,1,99.98890122,15,15,99.99630013,901,13514,0,0,0,90090,1351350,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.1,0.7,0.1,0.1,"up",600,10,"A1",3.92113188139427,8.26905633761973,12.1580590780388,16.3595067628742,93.5625759798015,89.76875320271,85.6056214822049,81.8169943097258,0.256248807291915,0.302640231214077,0.234073187525049,0.207915154611985
