"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
10501,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,15,15,99.99572969,30,30,100.0010676,9367,18733,0,0,0,936660,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",2.33819815476221,0.975342822187896,1.03959275490803,1.05292223627383,98.2512831779033,99.4982918178296,99.2730162247229,99.7451368920275,0.474096593505256,0.524480508958151,0.61627717948366,0.498928131640913
10502,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,15,15,99.99572969,30,30,100.0010676,9367,18733,0,0,0,936660,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",6.95804319355967,10.6765812330266,14.6217751914318,17.4647523722142,93.3025280888478,87.8013001673893,82.7616769041487,78.9005908127217,0.311277143447844,0.239217154563556,0.228535638367788,0.190024633768429
10505,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,15,15,99.98671096,30,30,99.98671096,1505,3010,0,0,0,150480,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",2.5068730762419,0.399817875314,0.657248198476369,0.0937943132263122,99.6710526315789,99.0842085682841,99.1441337321264,98.6825506308467,0.442722724403963,0.556637895092298,0.584926163702997,0.586467577864635
10506,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,15,15,99.98671096,30,30,99.98671096,1505,3010,0,0,0,150480,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",5.06296721515449,1.40189904541772,1.97507850892078,1.3165643568861,98.1460063063502,99.6710526315789,98.5046310481986,97.5317353112398,0.338447189422413,0.54533056092972,0.388643316028829,0.527250257584908
10509,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,15,15,99.99260136,30,30,99.99260136,3379,6758,0,0,0,337875,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",2.96057550693744,0.504349846821937,0.573525237820813,0.604638240654612,98.5470492463012,99.1866205914076,99.1749974212378,99.7331680901689,0.427164822361004,0.591913999652757,0.627597828913747,0.61833043377562
10510,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,15,15,99.99260136,30,30,99.99260136,3379,6758,0,0,0,337875,675750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",4.45532927544783,2.54263644564879,4.34472387940557,4.64461725505627,97.6065988812005,97.4639883961127,95.0591314459381,97.0411335170181,0.385418729132869,0.44841105555888,0.376979505494489,0.371095997604122
10513,30,30,11,11,"cross",416,"small",NA,1,120,4,7,1.75,4,15,15,100.6451613,30,30,99.84,62,125,0,0,0,6240,12480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A1",6.02412514638912,0.179002211296852,0.00286973934966165,0.000562071140141826,97.1969573802157,97.3557692307692,97.3557692307692,97.3557692307692,0.209070319564791,0.272394294344541,0.258349687266734,0.237172771759708
10514,30,30,11,11,"cross",416,"small",NA,1,120,4,7,1.75,4,15,15,100.6451613,30,30,99.84,62,125,0,0,0,6240,12480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A1",5.2828456132452,0.106743077118904,0.00484053749942741,0.0791913761178546,97.3557692307692,97.3557692307692,97.3557692307692,97.3557692307692,0.280814159024203,0.332411165895939,0.345730781969469,0.393844917451921
10517,351,350,91,90,"cross",90090,"XL",NA,1,120,4,7,1.75,4,15,15,99.99630013,30,30,100,13514,27027,0,0,0,1351350,2702700,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,10,"A1",2.02135537707729,0.950392938437069,0.947702845282281,0.865982134027535,99.6284287346784,93.8964981449398,99.7681903347718,99.7805711864328,0.456285890113172,0.493673755054412,0.545282683788223,0.578183341601142
10518,351,350,91,90,"cross",90090,"XL",NA,1,120,4,7,1.75,4,15,15,99.99630013,30,30,100,13514,27027,0,0,0,1351350,2702700,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.1,0.7,0.1,0.1,"up",600,10,"A1",8.85189387280427,12.6667592080424,16.9561779575557,19.6406780686012,91.8586545512793,84.2718156977711,81.4544205212243,77.6305094345312,0.256886329208099,0.223287934686053,0.195916302021974,0.153724224501794
