"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
1,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,98.6662319153101,100,100,100,0.196660150488982,8.95897524198885e-05,4.08130672415152e-08,1.85925998054169e-11,1e-08,9.55690596723504e-10,5.46207469400059e-10,5.44770216104291e-10
2,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,95.5450020648211,100,100,100,0.463999418604485,0.00021137786674746,9.6294254030613e-08,4.38673299809394e-11,1.00000000048322e-08,1.47630539419646e-09,2.05631810085171e-10,2.04447557043857e-10
3,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,91.0101715327231,100,100,100,0.660741409012479,0.000301004977495764,1.37124353988406e-07,6.24676899470479e-11,1.00000732357805e-08,2.10250485472957e-09,3.4275576457753e-10,3.38629068367768e-10
4,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,1,1,100,30,30,100,100,3000,0,0,0,10000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,84.9676183279418,100,100,100,0.895500209001978,0.000407950927752955,1.85844160758836e-07,8.46622528631374e-11,1.00472537188141e-08,2.80682807570994e-09,6.42528237948257e-10,6.24243339627256e-10
5,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,78.0975366834578,100,100,100,1.44600459671679,0.000658736915340199,3.00090983471159e-07,1.36707952115878e-10,1.54279226876315e-08,3.56920170312615e-09,2.23423651164367e-10,2.17814044700738e-10
6,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,100,100,100,100,0.0290697071323375,1.32428721004367e-05,6.03285645006821e-09,2.74829785046462e-12,1e-08,9.13286674246378e-11,7.77088111967934e-11,7.76955946745621e-11
7,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,100,100,100,100,0.0904407075438318,4.12007764831556e-05,1.87692188720766e-08,8.55041110763997e-12,1e-08,3.44242393321761e-11,2.46857186684786e-11,2.46769278202105e-11
8,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,5,5,100,15,15,100,500,1500,0,0,0,50000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,100,100,100,100,0.157982436029989,7.19698121796727e-05,3.27862059920001e-08,1.49359192511358e-11,9.9990042749809e-09,4.99121847896485e-12,2.89066039610192e-12,2.8889777132911e-12
9,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,5,5,100,30,30,100,500,3000,0,0,0,50000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,99.9931280981355,100,100,100,0.24659775103252,0.000112339068310037,5.11766218552237e-08,2.3313764839208e-11,1e-08,4.88499703083469e-11,1.91186021309433e-11,1.90991076736243e-11
10,100,100,5,5,"rectangle",10000,"large",1,1,600,1,1,0.25,4,5,5,100,45,45,100,500,4500,0,0,0,50000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,99.9762245658268,100,100,100,0.317118918511357,0.000144465426627216,6.58119440958256e-08,2.9980958641081e-11,1e-08,3.76659193535724e-11,1.08100526133589e-11,1.07956511865638e-11
