"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
36001,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,0.1,0.025,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.57426197497112e-12,9.50324463060068e-12,NA,0.75,0.75,99.9180153800208,100,1,55.2414005739774,98.4338230413769,99.9101849644268,0.210743225412595,4.19702702823532e-05,8.1284795126455e-09
36002,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,0.1,0.025,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.58292185045425e-12,9.55552113635071e-12,NA,0.75,0.75,99.9180182430751,100,1,56.4265948722912,99.4015377581764,99.9178025888725,0.211673849001586,4.22011372042046e-05,8.17319355730652e-09
36003,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,0.1,0.025,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.57059147002615e-12,9.4810871326972e-12,NA,0.75,0.75,99.9180182690248,100,1,55.861015764748,99.4674684931558,99.91783362536,0.210339280102908,4.18724197590895e-05,8.10952737852792e-09
36004,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,0.1,0.025,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.57129224059668e-12,9.48531742871365e-12,NA,0.75,0.75,99.9180182932298,100,1,57.9354566277492,99.5826572214927,99.9178629838467,0.210412526012699,4.18910883200915e-05,8.11314570825106e-09
36005,90,90,42,40,"hook",6420,"larger",NA,1,125,4,0.1,0.025,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.57130429261043e-12,9.48539018231944e-12,NA,0.75,0.75,99.9179935963407,100,1,50.4474435433861,95.5214120040507,99.8407247111056,0.210390765486729,4.18914247244694e-05,8.11320793727002e-09
36006,90,90,42,40,"hook",6420,"larger",NA,1,125,4,0.1,0.025,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.59405102313924e-12,9.62270388753394e-12,NA,0.75,0.75,99.9180177903338,100,1,54.4593324895216,98.8171616602112,99.9171969947112,0.212899708930873,4.24978430901893e-05,8.23065746964285e-09
36007,90,90,42,40,"hook",6420,"larger",NA,1,125,4,0.1,0.025,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.57563283348069e-12,9.51152000279247e-12,NA,0.75,0.75,99.9180181063478,100,1,55.2281213635966,99.0641270104151,99.9176395210395,0.210841452541716,4.2006816611082e-05,8.13555774720104e-09
36008,90,90,42,40,"hook",6420,"larger",NA,1,125,4,0.1,0.025,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.59469977006189e-12,9.62662013578691e-12,NA,0.75,0.75,99.9180155291181,100,1,53.499178148728,97.8294610246835,99.9121968385231,0.213036583386546,4.25151424581748e-05,8.23400718288252e-09
36009,90,90,30,28,"tee",6420,"larger",NA,1,125,4,0.1,0.025,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.57466110491629e-12,9.50565403231944e-12,NA,0.75,0.75,99.9180178688105,100,1,53.3980258188597,98.6504073922839,99.9173409214876,0.210729887315995,4.19809111025464e-05,8.13054036384429e-09
36010,90,90,30,28,"tee",6420,"larger",NA,1,125,4,0.1,0.025,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.63586003485341e-12,9.87508962281838e-12,NA,0.75,0.75,99.9179893944251,100,1,55.6781935255927,97.6631710310156,99.8421546243427,0.217744047535158,4.36124842018199e-05,8.44653240077463e-09
