"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
42001,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,3,0.75,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.26094125818313e-09,7.22482087301263e-09,NA,0.75,0.75,99.9180182523362,100,1,54.0740117897283,99.4051373219725,99.9178142273427,5.16696922457569,0.00874066142617867,3.3539435042743e-06
42002,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,3,0.75,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.83255033098514e-09,1.04999719340309e-08,NA,0.75,0.75,99.9180182507985,100,1,51.7319327253071,99.3615086372872,99.9178125284944,7.16489386563813,0.0126821337175176,4.87434893150714e-06
42003,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,3,0.75,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.36735100597732e-09,7.83450761501597e-09,NA,0.75,0.75,99.9180178262456,100,1,50.4185010374219,98.3188979138872,99.9173052091617,5.37406396159898,0.00942305954636137,3.63636153589283e-06
42004,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,3,0.75,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.88385085279817e-09,1.07939102314455e-08,NA,0.75,0.75,99.9180182976307,100,1,52.0506111596928,99.5271393253493,99.9178688820827,7.46792686691068,0.0130550129595539,5.0108955066049e-06
42005,90,90,42,40,"hook",6420,"larger",NA,1,125,4,3,0.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.45023933362574e-09,8.30942999456569e-09,NA,0.75,0.75,99.9180177156957,100,1,52.0482672188778,98.3606415433035,99.9171549619008,5.61139505834606,0.0100003955453234,3.85661968161344e-06
42006,90,90,42,40,"hook",6420,"larger",NA,1,125,4,3,0.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.41773656370333e-09,8.12321166695567e-09,NA,0.75,0.75,99.9180182530881,100,1,52.8550267633797,99.3788980250796,99.9178150829475,5.76269391427334,0.00981824341600693,3.77100054337289e-06
42007,90,90,42,40,"hook",6420,"larger",NA,1,125,4,3,0.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.25502557400388e-09,7.19092503396117e-09,NA,0.75,0.75,99.91801821796,100,1,54.7764898871108,99.4580203840146,99.9177715569661,5.16530049254284,0.00870747975882036,3.33816018352065e-06
42008,90,90,42,40,"hook",6420,"larger",NA,1,125,4,3,0.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.54062151022382e-09,8.82730650190176e-09,NA,0.75,0.75,99.9180182685394,100,1,53.5182687209709,99.4221369848283,99.9178337147024,5.89049789001381,0.0106764197948256,4.09788455796744e-06
42009,90,90,30,28,"tee",6420,"larger",NA,1,125,4,3,0.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.16238928229977e-09,6.66014896029623e-09,NA,0.75,0.75,99.9180183451993,100,1,54.9464213359384,99.7102847177195,99.9179257044767,4.91534056699888,0.00807947456612767,3.09192228015413e-06
42010,90,90,30,28,"tee",6420,"larger",NA,1,125,4,3,0.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.51153298696131e-09,8.66063782697562e-09,NA,0.75,0.75,99.9180182676417,100,1,53.2496051830646,99.4097646558331,99.9178325725067,5.9847268381189,0.0104700657757663,4.02051069290505e-06
