"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
48001,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,7,1.75,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.25560536707617e-07,7.17275037738621e-07,NA,0.75,0.75,99.9180182559166,100,1,52.2494170363664,99.539421917368,99.9178461246314,10.1169177803123,0.0899637728214276,0.000106379563448399
48002,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,7,1.75,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,2.44690248356183e-07,1.39781347519041e-06,NA,0.75,0.75,99.918017465817,100,1,47.2936741811897,98.2150534088661,99.9168247309455,18.3009440981609,0.173312599868523,0.000207306378994003
48003,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,7,1.75,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.15107635800778e-07,6.57561974856363e-07,NA,0.75,0.75,99.9180178995898,100,1,48.38833971437,98.4989228406149,99.9174168021483,9.18488396710389,0.0823529637665381,9.75225141640036e-05
48004,80,80,20,20,"rectangle",6400,"larger",1,1,125,4,7,1.75,4,1,1,100,1,1,100,64,64,0,0,0,6400,6400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.97290162425213e-07,1.12703651432798e-06,NA,0.75,0.75,99.9180176572788,100,1,47.8656478060593,98.4531799275779,99.9170819711046,14.8859631824308,0.141235176578013,0.000167149294218695
48005,90,90,42,40,"hook",6420,"larger",NA,1,125,4,7,1.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,9.65384519346044e-08,5.51483958691384e-07,NA,0.75,0.75,99.9180182087744,100,1,51.328375069423,99.3551337885409,99.9177829519726,8.02295214660642,0.0691451637271747,8.17908484964978e-05
48006,90,90,42,40,"hook",6420,"larger",NA,1,125,4,7,1.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.73203540493848e-07,9.89439675619563e-07,NA,0.75,0.75,99.9180179974355,100,1,49.463862064538,98.8461077791143,99.917547823927,14.7383124279361,0.123933151907467,0.000146743501287942
48007,90,90,42,40,"hook",6420,"larger",NA,1,125,4,7,1.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.07894535079906e-07,6.16356545121559e-07,NA,0.75,0.75,99.9180171579595,100,1,50.571124392208,98.2732556273548,99.9160741858803,8.88358990736088,0.0771998437049295,9.14093026586742e-05
48008,90,90,42,40,"hook",6420,"larger",NA,1,125,4,7,1.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.25763447534964e-07,7.18434180689412e-07,NA,0.75,0.75,99.9180178701775,100,1,50.7736380376446,98.6554645592614,99.9173575371937,10.0953329735527,0.0900180043124784,0.000106550623904684
48009,90,90,30,28,"tee",6420,"larger",NA,1,125,4,7,1.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.13695564397755e-07,6.49495393958518e-07,NA,0.75,0.75,99.9180182559555,100,1,52.4348888314238,99.5000794061485,99.917843381331,9.67431188136538,0.0814418013947739,9.63271037780255e-05
48010,90,90,30,28,"tee",6420,"larger",NA,1,125,4,7,1.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.49588233658421e-07,8.54535274166931e-07,NA,0.75,0.75,99.9180175360987,100,1,47.5835124624814,97.9732023360217,99.9169427859848,10.1745680806601,0.104344073959672,0.000126734209791837
48011,90,90,30,28,"tee",6420,"larger",NA,1,125,4,7,1.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.12428714909899e-07,6.42258415243034e-07,NA,0.75,0.75,99.9180179269282,100,1,52.1970830144123,99.0257329890427,99.9173798403866,9.72051630475567,0.0805036995133429,9.52528883763189e-05
48012,90,90,30,28,"tee",6420,"larger",NA,1,125,4,7,1.75,4,1,1,100.3125,1,1,100.3125,64,64,0,0,0,6420,6420,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.10745268507019e-07,1.20389992124829e-06,NA,0.75,0.75,99.9180175688178,100,1,47.0690894158499,98.0169641993207,99.9169813659809,14.2107604586025,0.147059678661031,0.000178548833247219
