"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
52001,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,0.1,0.025,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.57257666105919e-12,9.49307100598221e-12,NA,0.75,0.75,99.9180182851628,100,1,57.5058013621108,99.5231903332466,99.91785309825,0.210547049901865,4.19253323208491e-05,8.11977763205001e-09
52002,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,0.1,0.025,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.57117145451866e-12,9.4845882872712e-12,NA,0.75,0.75,99.9180182775564,100,1,57.2843857305148,99.5348355922333,99.9178443063025,0.210393862681634,4.1887866612671e-05,8.11252204633482e-09
52003,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,0.1,0.025,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.57145773025521e-12,9.48631642934629e-12,NA,0.75,0.75,99.9180181991733,100,1,56.8278747990739,99.3412189925507,99.9177506366826,0.210425252425849,4.18955053284864e-05,8.11400019086429e-09
52004,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,0.1,0.025,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.59445859296416e-12,9.62516423772454e-12,NA,0.75,0.75,99.9180177900717,100,1,57.1516138891361,99.1609500936695,99.9169218253701,0.212951558702756,4.25087123593092e-05,8.23276189913349e-09
52005,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,0.1,0.025,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.57267271737524e-12,9.49365086288295e-12,NA,0.75,0.75,99.9180178895316,100,1,57.2808617284026,99.4279027336848,99.9168783466698,0.210565634873554,4.19279094517512e-05,8.12027360529526e-09
52006,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,0.1,0.025,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.58765030194612e-12,9.58406507120122e-12,NA,0.75,0.75,99.9180182861726,100,1,56.803770729509,99.513053670074,99.9178541695487,0.212252868746141,4.2327196767129e-05,8.19760824914259e-09
52007,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,0.1,0.025,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.59486918227253e-12,9.62764281543412e-12,NA,0.75,0.75,99.9180182830011,100,1,56.4988445971479,99.4804824834674,99.9178502368765,0.21316907949766,4.25196681800573e-05,8.23488191911251e-09
52008,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,0.1,0.025,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.57285365345321e-12,9.49474310790873e-12,NA,0.75,0.75,99.9180183494101,100,1,57.5947020813512,99.7022655596717,99.917929991983,0.210562062201168,4.19327143796123e-05,8.12120784321177e-09
52009,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,0.1,0.025,4,1,1,99.94666667,1,1,99.94666667,225,225,0,0,0,22488,22488,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.57403338606273e-12,9.50186472284019e-12,NA,0.75,0.75,99.9180179305734,100,1,55.2952661985732,99.1995464573244,99.9172462632154,0.210714358005966,4.19641727406189e-05,8.12729922602439e-09
52010,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,0.1,0.025,4,1,1,99.94666667,1,1,99.94666667,225,225,0,0,0,22488,22488,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.57429049582438e-12,9.50341680057612e-12,NA,0.75,0.75,99.918018192945,100,1,55.9186659875287,99.264844131804,99.9177426600292,0.210735775238504,4.19710203592177e-05,8.12862677585986e-09
