"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
54001,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,0.5,0.125,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.16738512749596e-10,7.09141315356907e-10,NA,1,1,99.9180184086799,100,1,74.1738848448899,99.8989025544607,99.9180017326008,8.43112566403651,0.00227133101301651,5.1492854124212e-07
54002,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,0.5,0.125,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.34241998634467e-10,8.1546822248782e-10,NA,1,1,99.9180184041533,100,1,70.5114897110205,99.8910379286826,99.9179963105146,10.2065719099681,0.00261188942514792,5.92135662078362e-07
54003,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,0.5,0.125,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.16189653268496e-10,7.05807206285221e-10,NA,1,1,99.9180184087473,100,1,74.0949253183573,99.899160231038,99.9180018126109,8.39870140698793,0.00226065227622726,5.12507545768828e-07
54004,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,0.5,0.125,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.15929823316867e-10,7.04228839819969e-10,NA,1,1,99.9180184084114,100,1,73.9679102023691,99.8983569053072,99.918001406727,8.43446839342259,0.00225559869190817,5.1136144758657e-07
54005,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,0.5,0.125,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.19221515293954e-10,7.24224595491859e-10,NA,1,1,99.9180184063113,100,1,73.226069037303,99.8915795169915,99.9179988812859,8.71649565530706,0.00231964233067104,5.25880958326123e-07
54006,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,0.5,0.125,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.17298038566933e-10,7.12540218295924e-10,NA,1,1,99.918018407459,100,1,73.5849986019004,99.8963442883363,99.9180002605198,8.50962514162341,0.00228221708467905,5.17396585468647e-07
54007,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,0.5,0.125,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.26914301737879e-10,7.70955297889157e-10,NA,1,1,99.9180184049721,100,1,71.6034764865744,99.8914418298137,99.9179972817976,9.47473836386383,0.00246931716346867,5.59813507293101e-07
54008,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,0.5,0.125,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.16500977675629e-10,7.07698381651002e-10,NA,1,1,99.9180184073747,100,1,73.1204981525477,99.8962074601509,99.9180001569135,8.61054890214999,0.00226671394726215,5.13880784927812e-07
54009,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,0.5,0.125,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.1752771588812e-10,7.13935419192518e-10,NA,1,1,99.9180184067995,100,1,72.4029047833459,99.8957542606441,99.9179994651029,8.78314245511007,0.00228668607686386,5.18409682220125e-07
54010,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,0.5,0.125,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.15872225765293e-10,7.03878956970982e-10,NA,1,1,99.9180184069337,100,1,72.4336956326636,99.8956992721597,99.9179996233147,8.77769660649974,0.00225447641870063,5.1110738677211e-07
