"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
56001,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,1,0.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.64133388729149e-11,9.98651087658614e-11,NA,1,1,99.9180184199758,100,1,91.6630354906244,99.914421071553,99.9180151669676,1.17086474772577,0.000292135131351752,6.92452832970477e-08
56002,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,1,0.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.64577143601684e-11,1.0013510641201e-10,NA,1,1,99.9180184202448,100,1,91.9666129352878,99.9147971462642,99.9180154917809,1.17665077992116,0.000292924823297635,6.94324964596901e-08
56003,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,1,0.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.64759949742213e-11,1.00246332745958e-10,NA,1,1,99.9180184198577,100,1,91.6723573887057,99.9142630816476,99.918015024778,1.17341155672624,0.000293250396361088,6.95096194866766e-08
56004,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,1,0.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.64411878910701e-11,1.00034552975148e-10,NA,1,1,99.9180184202799,100,1,91.9537570981132,99.914848373413,99.9180155341251,1.17185944643891,0.000292630763764723,6.93627739060342e-08
56005,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,1,0.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.69994453914389e-11,1.03431207758516e-10,NA,1,1,99.9180184199052,100,1,91.4836201139881,99.9143314580486,99.9180150843771,1.23426243468889,0.00030256696042969,7.17179740852833e-08
56006,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,1,0.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.64284858301982e-11,9.99572687187073e-11,NA,1,1,99.9180184202439,100,1,91.9304408894739,99.9147949918184,99.918015490557,1.17234760060523,0.000292404613624555,6.93091859116586e-08
56007,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,1,0.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.64417765059926e-11,1.00038134336243e-10,NA,1,1,99.9180184199184,100,1,91.6446012350376,99.9143430737108,99.9180150978267,1.17144933227196,0.00029264121519349,6.93652571736937e-08
56008,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,1,0.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.65512053880134e-11,1.007039420241e-10,NA,1,1,99.9180184201036,100,1,91.4867392465776,99.9145951413598,99.9180153218582,1.20935371743177,0.000294588866843305,6.98269203471783e-08
56009,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.6416861759854e-11,9.98865433740222e-11,NA,1,1,99.9180184199028,100,1,91.6274745938399,99.9143206564324,99.918015078885,1.17085446075483,0.000292197808738406,6.92601457964602e-08
56010,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.65565273420016e-11,1.00736322852775e-10,NA,1,1,99.9180184201906,100,1,91.7539586348319,99.9147217996347,99.9180154268153,1.19617048421228,0.000294683566700973,6.98493728175624e-08
56011,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.64439285752681e-11,1.00051228358973e-10,NA,1,1,99.9180184201383,100,1,91.886430509638,99.9146482845758,99.9180153632527,1.17150858621578,0.00029267949583773,6.93743364139769e-08
56012,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.64513214844137e-11,1.00096209680661e-10,NA,1,1,99.9180184202661,100,1,91.9743197132147,99.9148284914548,99.9180155174374,1.17630695558015,0.000292811142985506,6.94055259406308e-08
56013,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.64027828977161e-11,9.98008821255958e-11,NA,1,1,99.766950622594,99.8488082532906,1,91.5283395752715,99.763282575191,99.7669473079861,1.1693186240694,0.000291947259368833,6.92007493017699e-08
56014,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.64586531819858e-11,1.00140818567448e-10,NA,1,1,99.7669506229973,99.8488082532906,1,92.0468655824151,99.7638503546148,99.7669477949028,1.17187851213053,0.000292941539732386,6.94364572009895e-08
56015,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.64562061400842e-11,1.0012592981705e-10,NA,1,1,99.7669506226139,99.8488082532906,1,91.5531556833545,99.7633132015679,99.7669473321928,1.17183808097963,0.000292898115437108,6.9426133523802e-08
56016,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.64449286322902e-11,1.00057313093096e-10,NA,1,1,99.7669506229099,99.8488082532906,1,91.6640526236992,99.7637235230328,99.7669476893092,1.17598084310493,0.000292697387068824,6.9378555506873e-08
56017,170,170,40,40,"cross",22500,"larger2",NA,1,125,4,1,0.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.64631184163886e-11,1.00167986782444e-10,NA,1,1,99.7403863872705,99.8222222222222,1,91.6234931684956,99.736855816833,99.7403831902271,1.17258534908022,0.000293021079067749,6.94552953215417e-08
56018,170,170,40,40,"cross",22500,"larger2",NA,1,125,4,1,0.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.64278642482548e-11,9.99534867734949e-11,NA,1,1,99.7403863875162,99.8222222222222,1,91.8368075346661,99.7371977249423,99.7403834866421,1.18727326613762,0.000292393538326034,6.93065635553748e-08
56019,170,170,40,40,"cross",22500,"larger2",NA,1,125,4,1,0.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.64355547281535e-11,1.00000278630867e-10,NA,1,1,99.7403863871978,99.8222222222222,1,91.5238654181582,99.736752749195,99.7403831023332,1.171158567124,0.000292530531629918,6.9339008475706e-08
56020,170,170,40,40,"cross",22500,"larger2",NA,1,125,4,1,0.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.641737993123e-11,9.98896961292923e-11,NA,1,1,99.7403863876055,99.8222222222222,1,92.0691385065241,99.7373262395224,99.7403835942823,1.16858990876126,0.00029220702676591,6.92623318891872e-08
56021,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,1,0.25,4,30,30,100,15,15,100,6750,3375,0,0,0,675000,337500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,5.00543708539756e-11,3.04550172773668e-10,NA,1,1,99.9180184202766,100,1,91.5331119809652,99.9147498455506,99.9180155126577,3.60710035284379,0.000890899914360161,2.11171481736795e-07
56022,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,1,0.25,4,30,30,100,15,15,100,6750,3375,0,0,0,675000,337500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,5.16556631566279e-11,3.14293055145652e-10,NA,1,1,99.9180184202925,100,1,91.5294213960818,99.9147810455899,99.9180155336026,3.75413343294931,0.000919400454604213,2.17927080945856e-07
56023,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,1,0.25,4,30,30,100,15,15,100,6750,3375,0,0,0,675000,337500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,4.97306619928064e-11,3.02580602725826e-10,NA,1,1,99.9180184202427,100,1,91.5077797484929,99.9147012816288,99.9180154714751,3.51348121679492,0.000885138792769977,2.09805805211711e-07
56024,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,1,0.25,4,30,30,100,15,15,100,6750,3375,0,0,0,675000,337500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,4.95501059061635e-11,3.01482029585337e-10,NA,1,1,99.9180184203992,100,1,91.7749974779093,99.9149231248198,99.9180156600396,3.50896005860022,0.000881924696606864,2.09044067652363e-07
56025,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,1,0.25,4,30,30,100,15,15,100,6756,3378,0,0,0,675600,337800,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.96490171326995e-11,3.02083843784952e-10,NA,1,1,99.9180184202358,100,1,91.4724615089462,99.9146904768964,99.9180154630076,3.51193318369243,0.000883685323885035,2.09461358444802e-07
56026,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,1,0.25,4,30,30,100,15,15,100,6756,3378,0,0,0,675600,337800,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.95200318137588e-11,3.01299047162831e-10,NA,1,1,99.9180184203622,100,1,91.6225734682585,99.9148692646134,99.9180156153732,3.52069707088172,0.000881389127615756,2.0891718974912e-07
56027,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,1,0.25,4,30,30,100,15,15,100,6756,3378,0,0,0,675600,337800,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,4.95968258168722e-11,3.01766291611559e-10,NA,1,1,99.9180184202491,100,1,91.4903323576492,99.9147089264566,99.9180154790336,3.50644455583134,0.000882756167240467,2.09241171519866e-07
56028,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,1,0.25,4,30,30,100,15,15,100,6756,3378,0,0,0,675600,337800,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,5.31642549935389e-11,3.23471911991302e-10,NA,1,1,99.9180184202952,100,1,91.5612012054473,99.9147936277047,99.918015538578,3.86926493611288,0.000946252131049211,2.2429159169193e-07
56029,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,15,15,100.0059294,6746,3373,0,0,0,674640,337320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.95845906480792e-11,3.016918481073e-10,NA,1,1,99.9180184202994,100,1,91.5790215096798,99.9147806126141,99.9180155396554,3.5115651971692,0.000882538429245088,2.09189553281586e-07
56030,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,15,15,100.0059294,6746,3373,0,0,0,674640,337320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,5.38271755921906e-11,3.2750537758918e-10,NA,1,1,99.9180184202002,100,1,91.3083491664814,99.9146600557422,99.9180154247076,3.93357635251644,0.000958050559550058,2.27088348802047e-07
56031,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,15,15,100.0059294,6746,3373,0,0,0,674640,337320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,4.96776897644029e-11,3.0225829917796e-10,NA,1,1,99.9180184203003,100,1,91.5579914255873,99.9147825896846,99.9180155409383,3.50843611686265,0.000884195419078622,2.09582323741143e-07
56032,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,15,15,100.0059294,6746,3373,0,0,0,674640,337320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,4.97545914506913e-11,3.02726198812711e-10,NA,1,1,99.9180184203735,100,1,91.6805761464473,99.9148868695335,99.9180156292521,3.56835418915057,0.000885564565151051,2.09906760005368e-07
56033,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,15,15,100.0059294,6746,3373,0,0,0,674640,337320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.95357760991208e-11,3.01394841490985e-10,NA,1,1,99.7669506229498,99.8488082532906,1,91.4074008868757,99.7636858283027,99.7669477195387,3.50093372105599,0.00088166986022221,2.08983612414179e-07
56034,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,1,0.25,4,30,30,100.0059294,15,15,100.0059294,6746,3373,0,0,0,674640,337320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.9787000137269e-11,3.02923385810244e-10,NA,1,1,99.7669506230325,99.8488082532906,1,91.5190763312033,99.7638044508441,99.7669478195648,3.53412979477034,0.000886140810996714,2.10043486924286e-07
