"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
58001,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,3,0.75,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.17079329332474e-09,6.70829410917079e-09,NA,0.75,0.75,99.9180179664829,100,1,54.8237773128453,99.3130983792116,99.9172200812523,4.58477154430045,0.00810728481221798,3.11376155597839e-06
58002,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,3,0.75,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.66740755536618e-09,9.55375243617285e-09,NA,0.75,0.75,99.918018243988,100,1,53.5791231229044,99.3683444252166,99.9178044471692,6.52432764177859,0.0115526092050798,4.43507778187876e-06
58003,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,3,0.75,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.24738861545541e-09,7.14716781740732e-09,NA,0.75,0.75,99.9180182322142,100,1,54.4560603747943,99.4401456435604,99.9177904398597,5.32148014979745,0.00864856746279209,3.31786703882259e-06
58004,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,3,0.75,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.84312862185421e-09,1.05605676988361e-08,NA,0.75,0.75,99.9180177699799,100,1,50.8060209875024,98.5882620082606,99.9171544508266,7.3086638562743,0.0127075609214747,4.90152121593447e-06
58005,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,3,0.75,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.05120944029763e-09,6.02311713040235e-09,NA,0.75,0.75,99.9180181154123,100,1,54.0658459358409,99.2131097884,99.9176333915388,4.16434788219068,0.00727770769020257,2.79592628153077e-06
58006,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,3,0.75,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.46761348023502e-09,8.40898355861934e-09,NA,0.75,0.75,99.9180179205344,100,1,52.9505035386152,98.854904107112,99.9173793435039,5.95011980129486,0.0101398717299819,3.9031368976479e-06
58007,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,3,0.75,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.3275633620576e-09,7.60654406995918e-09,NA,0.75,0.75,99.9180181718155,100,1,53.7366371580835,99.2452706296587,99.9177163231701,5.27745257134169,0.00919248327111587,3.53103483528883e-06
58008,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,3,0.75,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.73585379866632e-09,9.94590074354872e-09,NA,0.75,0.75,99.9180172576249,100,1,52.3290310355985,98.355869075742,99.9161724237706,6.65056187559497,0.0119508603931588,4.61521108629767e-06
58009,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,3,0.75,4,1,1,99.94666667,1,1,99.94666667,225,225,0,0,0,22488,22488,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.34508760829892e-09,7.70695316294591e-09,NA,0.75,0.75,99.9180181880621,100,1,53.821352829403,99.2523227489689,99.9177375307626,5.47163115891572,0.00931516140425372,3.5776699222299e-06
58010,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,3,0.75,4,1,1,99.94666667,1,1,99.94666667,225,225,0,0,0,22488,22488,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.64967431680949e-09,9.45214219216545e-09,NA,0.75,0.75,99.9180180969296,100,1,52.6469965389689,99.2025699232836,99.917597201578,6.86549439500766,0.0114139827558013,4.38764195178861e-06
