"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
60001,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,4,1,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.6592580237054,100,1,0,0,1.40181356425578e-06,3.87657770694744e-06,NA,6.85862540267255,0.0977048347712585,0.000379579280755825,93.0597372525366,99.1560201672202,99.6430155441394
60002,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,4,1,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,98.7497419495501,100,2,0,0,1.26580094572242,1.65717073850819,NA,7.41975431002383,1.45994607400015,0.994198934991824,92.1636475290362,98.1853092610255,98.7510349476749
60003,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,4,1,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,99.659096007379,100,1,0,0,2.16279102711273e-06,5.96613601436714e-06,NA,7.93766519675168,0.148594362634751,0.000583064754240074,92.5683737007313,99.0223588014559,99.6373535136746
60004,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,4,1,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,1,1,95.8417787479844,98.2439580880908,2,0,0,2.33511174496743,3.67585050401817,NA,6.20762533440919,1.99595211990675,1.71279607399868,93.3894138868661,98.2718056264427,98.4318062841644
60005,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,4,1,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.6595226085608,100,1,0,0,1.1433179300089e-06,3.16241949638151e-06,NA,6.2789618458778,0.0804367211638256,0.000309798433998656,93.4332372835615,99.2397720704462,99.6443358349837
60006,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,4,1,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,98.3915112001111,99.9988349318274,2,0,0,1.64441369848786,2.11942323747878,NA,5.94356208621876,1.35539961768764,1.17444780133157,93.3865592259582,97.7997129745679,98.1076304276548
60007,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,4,1,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,99.6576119968337,100,1,0,0,1.57329257799421e-06,4.30442090573768e-06,NA,7.12145084073155,0.107604361004948,0.000419801297732886,92.7854619316434,99.1296975580855,99.6422959262956
60008,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,4,1,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0.5,0.5,0.143424319250593,0.827370646055349,NA,0.25,0.25,97.2768266013398,100,5,6.5904264450766,2.92204266896391,22.4787605360132,92.6868462475918,92.0196774911523,45.9915718766667
60009,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,4,1,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.6596580723557,100,1,0,0,8.13643597557123e-07,2.25143337173223e-06,NA,5.58402957413369,0.0574655122191446,0.000220373453625856,93.9720781668359,99.2993548255982,99.6473621907899
60010,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,4,1,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,96.9935851464053,100,5,0,0,3.17588875619942,3.70326377949107,NA,6.24416266785297,3.67034878178745,8.71950690351174,92.834934556856,82.8079659725969,90.8621800323552
