"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
62001,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,5,1.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.94786687683398e-09,1.116959729876e-08,NA,1,1,99.9180184114533,100,1,89.5540807217519,99.9071326740358,99.918007625112,3.19021603741388,0.00354989855999899,2.63012768961466e-06
62002,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,5,1.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,2.09077862313728e-09,1.19890920358308e-08,NA,1,1,99.9180184129196,100,1,90.503795875145,99.9114959711359,99.9180096010685,3.76048657806615,0.00381075308585681,2.82309600486189e-06
62003,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,5,1.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.81330903755711e-09,1.03980061304846e-08,NA,1,1,99.9180184125334,100,1,89.9908545988231,99.9089083754531,99.9180087340204,2.89854714377463,0.00330484452697299,2.4484396853484e-06
62004,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,5,1.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.3164548111761e-09,1.32831805440642e-08,NA,1,1,99.9180184117766,100,1,90.1495341510811,99.9106772911261,99.9180085478928,4.15089513346216,0.00422194266407486,3.12781755117621e-06
62005,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,5,1.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.80433814142822e-09,1.03465645776702e-08,NA,1,1,99.9180184121056,100,1,89.717872836231,99.907659577001,99.9180082049028,3.01494487120033,0.00328845808561923,2.43632660841249e-06
62006,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,5,1.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.95219998937887e-09,1.1194444541341e-08,NA,1,1,99.9180184129328,100,1,90.1339861377987,99.9110145598756,99.918009416639,3.57732959773329,0.00355810603870062,2.63597871373362e-06
62007,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,5,1.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,2.10868581282988e-09,1.20917767220617e-08,NA,1,1,99.9180184113807,100,1,89.3605148748693,99.9093322274074,99.918007769896,3.7407074971347,0.00384306973006539,2.84727516786284e-06
62008,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,5,1.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.67132556856585e-09,1.53181057749507e-08,NA,1,1,99.918018410103,100,1,89.3477622316319,99.9095062306263,99.9180070411461,4.97964714394487,0.00486853283618107,3.60698534231997e-06
62009,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,5,1.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.81536345771884e-09,1.04097867332207e-08,NA,1,1,99.9180184126692,100,1,90.062656297403,99.9095094094715,99.9180089008824,2.94631012274293,0.00330859606485383,2.45121369377245e-06
62010,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,5,1.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.98676164720597e-09,1.1392630466911e-08,NA,1,1,99.9180184129761,100,1,90.0325793571853,99.911205911164,99.9180095188598,3.29663376461945,0.00362113205778215,2.68264596911347e-06
