"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
64001,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,7,1.75,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.18892960546271e-07,6.79185957366309e-07,NA,0.75,0.75,99.9180179678904,100,1,51.4126271241634,98.9755295377887,99.9174884038648,10.0793265566241,0.0851166048184309,0.000100729713562429
64002,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,7,1.75,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,3.85442045576771e-07,2.20186985920643e-06,NA,0.75,0.75,99.9180176661429,100,1,44.3144686753084,98.1166061235588,99.9171836896135,22.1321598737169,0.266629364503104,0.000326556071199784
64003,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,7,1.75,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.07516929114704e-07,6.14199427643995e-07,NA,0.75,0.75,99.9180180302028,100,1,51.0044083998458,98.9383105076594,99.9175671932176,9.09378176222865,0.0769627402598868,9.10917674606987e-05
64004,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,7,1.75,4,1,1,100,1,1,100,225,225,0,0,0,22500,22500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.74785226633309e-07,9.98475184282616e-07,NA,0.75,0.75,99.918018066761,100,1,49.7166630521624,99.0290280454924,99.9176307653,14.8798451697801,0.125118826039836,0.000148084001358234
64005,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,7,1.75,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.32859639456363e-07,7.5897177311769e-07,NA,0.75,0.75,99.9180181378199,100,1,51.2224565871167,99.1961719801965,99.9177059855419,11.3349323156557,0.0951216753502141,0.000112563251935719
64006,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,7,1.75,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.46883775320805e-07,8.3908582608652e-07,NA,0.75,0.75,99.9180177634103,100,1,48.6544254246393,98.3513676060948,99.9172587224737,12.3540684833315,0.105064873849092,0.000124443701435607
64007,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,7,1.75,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,9.89324611980492e-08,5.65159939473632e-07,NA,0.75,0.75,99.9180179513719,100,1,50.7797241856115,98.7831121507154,99.91747565779,7.7340772987681,0.0708170825140445,8.38185507818968e-05
64008,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,7,1.75,4,1,1,100.0888889,1,1,100.0888889,225,225,0,0,0,22520,22520,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.52389752900092e-07,8.70539170355712e-07,NA,0.75,0.75,99.9180181278651,100,1,51.7940772100926,99.202059356537,99.9176989399737,12.9910603108538,0.109177153070109,0.000129110125641499
64009,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,7,1.75,4,1,1,99.94666667,1,1,99.94666667,225,225,0,0,0,22488,22488,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.26885088932453e-07,7.2484165413972e-07,NA,0.75,0.75,99.9180181825501,100,1,52.1451989721951,99.3284060776844,99.9177586121589,10.9432095201239,0.0908777502046708,0.000107501540381128
64010,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,7,1.75,4,1,1,99.94666667,1,1,99.94666667,225,225,0,0,0,22488,22488,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,2.95792158948322e-07,1.68973739172865e-06,NA,0.75,0.75,99.9180178642277,100,1,46.7743000542602,98.5793387626611,99.9174148733086,21.2017776895481,0.208522134977811,0.000250603764909602
64011,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,7,1.75,4,1,1,99.94666667,1,1,99.94666667,225,225,0,0,0,22488,22488,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.25455582638325e-07,7.16675484799993e-07,NA,0.75,0.75,99.9180178882032,100,1,50.6628887780554,98.7357560558022,99.917400395557,10.298664418999,0.0897898478878432,0.00010628955076257
