"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
66001,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8822098266886,100,1,0,0,2.43365198983986e-07,7.07935283269221e-07,NA,6.3247466984475,0.0370593288063421,9.5098988345616e-05,92.9299899069622,99.8630798334287,99.8820905589798
66002,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,98.8389084467428,100,1,0,0,0.168157966429999,0.463946979855858,NA,5.66155430630638,0.968327988169481,0.330986373701926,91.0205788922391,97.9729641219579,99.5417729306984
66003,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,99.8821970927178,100,1,0,0,1.53355166139359e-07,4.45709109788843e-07,NA,4.72603304987439,0.0227441603940308,5.87392432074938e-05,94.4911795962512,99.868929789629,99.8821339265159
66004,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,1,1,99.1507784568861,100,1,0,0,0.90425307108333,1.04420994941047,NA,5.31339068006163,1.88893896615112,2.03988336200244,92.1064793172822,97.6694824237233,98.8331182347566
66005,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,8,2,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8822107860659,100,1,0,0,2.14741717117655e-07,6.24780916924549e-07,NA,5.93781727631748,0.0327359604737111,8.39872261399336e-05,93.2160966049885,99.8645846636865,99.8821010988294
66006,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,8,2,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,99.1450446896781,100,1,0,0,0.0478751726149822,0.0811944353726732,NA,4.77661951035581,0.17624313402967,0.21800294356077,94.0751975598364,98.8928781299337,97.8174021971644
66007,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,8,2,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,99.8822109781419,100,1,0,0,2.46847136144666e-07,7.16538101050893e-07,NA,5.88153871187172,0.036864690351842,9.60534609370797e-05,93.5697591893468,99.8652392957088,99.8821015709288
66008,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,8,2,4,5,5,100,30,30,100,1126,6756,0,0,0,112600,675600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,1,1,97.0168976909289,99.9949545795716,1,0,0,1.99684752411252,2.47333462082963,NA,5.72685360167714,1.34698986065651,1.62021441376664,93.093999570896,97.2549771806532,98.1191791590251
66009,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,8,2,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8801308312558,100,1,0,0,2.52986095114512e-07,7.35219342475864e-07,NA,6.46118083461086,0.0384899457387785,9.87302645306123e-05,92.7649556849751,99.8621612953138,99.8820882567549
66010,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,8,2,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,98.7464428429085,100,1,0,0,0.14221383494742,0.238025494024087,NA,5.72927245749914,0.861295282673986,0.164524215246697,92.2653392486508,98.8345040658592,99.429296236425
66011,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,8,2,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,99.882133047969,100,1,0,0,1.83217892351652e-07,5.32367116677936e-07,NA,5.34777961140307,0.0272556811999562,7.02335667396909e-05,93.9475974251144,99.8662669361181,99.8821171711152
66012,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,8,2,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,1,1,96.3998993167612,98.7615039527021,1,0,0,3.70601429664378,3.8646402258002,NA,6.19402123415625,2.09997115771896,2.28897177429526,91.3706457271486,97.8656260030595,97.4749337692798
66013,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,8,2,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.7311973313471,99.8488082532906,1,0,0,1.99970947832754e-07,5.81711137051034e-07,NA,5.72647483704347,0.0305041101958062,7.81912525617906e-05,93.2345910636681,99.7138081501193,99.7310923429826
66014,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,8,2,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,96.183559537713,99.8488082532906,1,0,0,0.304781005944881,0.561898362300491,NA,5.61050033630981,0.517789704137325,0.436209125650589,91.7585521948245,95.1421419219641,96.5349333324051
66015,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,8,2,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,99.7311970269861,99.8488082532906,1,0,0,2.48410454662208e-07,7.22655781147717e-07,NA,6.25119669682559,0.0377228075632283,9.70560157162419e-05,92.6884126546632,99.6902480110707,99.7310618277174
66016,160,155,34,34,"eight",22488,"larger2",NA,1,125,4,8,2,4,5,5,100.0355872,30,30,100.0059294,1124,6746,0,0,0,112440,674640,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,1,1,96.4669521020587,99.361020758711,1,0,0,3.75133815180727,4.12796663308308,NA,5.77189782523915,1.53775457882621,3.76267742311306,90.4471968755377,96.5144894231725,95.2958676667117
66017,170,170,40,40,"cross",22500,"larger2",NA,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.7046416488502,99.8222222222222,1,0,0,3.23211604264351e-07,9.40557122042202e-07,NA,7.06879902702951,0.0492231214614336,0.000126398161541509,92.2931290193913,99.6806567911405,99.7044992596255
66018,170,170,40,40,"cross",22500,"larger2",NA,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,99.2146656559779,99.8222222222222,1,0,0,0.0550291526833041,0.11928229709814,NA,5.77439430095298,0.764410051404168,0.375980108112175,90.1957974708503,97.2874609937381,98.4687083044112
66019,170,170,40,40,"cross",22500,"larger2",NA,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,99.7046420142048,99.8222222222222,1,0,0,2.73080487447145e-07,7.92656450614646e-07,NA,6.53262774703732,0.0414547729837763,0.000106394911953841,92.4893007570977,99.6846177900791,99.7045197932141
66020,170,170,40,40,"cross",22500,"larger2",NA,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,1,1,97.3622531729983,99.8222222222222,1,0,0,1.21060490280235,1.92913127039235,NA,6.89277487109805,0.707596408509482,0.953589459606316,91.1941335042876,96.2230704149493,98.759288706704
66021,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8822108151683,100,1,0,0,3.70801075746993e-09,1.46637834282288e-08,NA,4.09753320892279,0.0078117083915853,5.39002219207915e-06,92.706401692264,99.8629675924974,99.8821211643085
66022,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,8,2,4,5,5,100,30,30,100,1125,6750,0,0,0,112500,675000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,99.2506726266027,100,1,0,0,0.221304148018978,0.403877994893929,NA,3.86612532594672,0.390503616453889,0.0908488348513666,89.8747804177578,98.5539417990284,99.2682985240387
