"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
68001,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,9,2.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,8.1482749779168e-08,4.63897662216291e-07,NA,1,1,99.9180183502527,100,1,86.3415022354177,99.8954148772319,99.9179798367417,7.6997896356707,0.0242385278838339,4.44468722300014e-05
68002,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,9,2.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.20719753996677e-07,6.87281809271462e-07,NA,1,1,99.9180183188548,100,1,85.232357359896,99.8929224403379,99.9179654843789,11.3080254251142,0.0359075204514925,6.58496950796951e-05
68003,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,9,2.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,9.19173276464284e-08,5.23303810099571e-07,NA,1,1,99.9180183412482,100,1,85.7546422893913,99.8930781975588,99.917975230137,8.75836008539423,0.02734189419207,5.01386797150627e-05
68004,150,150,20,20,"rectangle",22500,"larger2",1,1,125,4,9,2.25,4,30,30,100,5,5,100,6750,1125,0,0,0,675000,112500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,8.2115652086543e-08,4.67500900986123e-07,NA,1,1,99.9180183537828,100,1,88.7757375268435,99.9040098969981,99.9179844775928,8.1257022207412,0.0244314366104531,4.47921423522166e-05
68005,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,9,2.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,8.42893591992234e-08,4.79876253445687e-07,NA,1,1,99.9180183470468,100,1,86.0863674783931,99.8923909190543,99.917977652293,7.91271048998438,0.0250737188959705,4.59778087288776e-05
68006,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,9,2.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.17013766762016e-07,6.66182879340371e-07,NA,1,1,99.918018325663,100,1,88.0636024300278,99.8997530746999,99.9179714772782,10.485074930335,0.0348097046173682,6.38281757128048e-05
68007,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,9,2.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,8.68322368433676e-08,4.94353366638025e-07,NA,1,1,99.9180183446791,100,1,85.8606843406388,99.8909724764336,99.9179763206158,8.10411753419257,0.0258299959358983,4.73648882656194e-05
68008,160,160,56,55,"hook",22520,"larger2",NA,1,125,4,9,2.25,4,30,30,100,5,5,100,6756,1126,0,0,0,675600,112600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,8.35984855873476e-08,4.75942970547225e-07,NA,1,1,99.918018351788,100,1,88.2516935281783,99.9023681894031,99.917982958188,8.08650449680051,0.0248711412216078,4.56009699568899e-05
68009,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,9,2.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,7.38598788185086e-08,4.20499126577941e-07,NA,1,1,99.9180183563775,100,1,86.806130608164,99.8955154058415,99.9179826547082,6.90886260158284,0.0219710899859373,4.0288781116094e-05
68010,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,9,2.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.18933724259133e-07,6.77113583055422e-07,NA,1,1,99.9180183217357,100,1,85.7771989553429,99.8957771137348,99.9179678896954,11.1127382613476,0.0353785219306791,6.48754614501438e-05
68011,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,9,2.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,7.32730602516636e-08,4.17158250577601e-07,NA,1,1,99.9180183567201,100,1,86.822648351382,99.8953725213761,99.9179827168289,6.90395410203173,0.021797492692875,3.99686883161486e-05
68012,160,155,34,34,"tee",22488,"larger2",NA,1,125,4,9,2.25,4,30,30,100.0059294,5,5,100.0355872,6746,1124,0,0,0,674640,112440,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.01919612669131e-07,5.8024882670669e-07,NA,1,1,99.9180183363438,100,1,86.712625455757,99.8993790871782,99.917975311763,9.79103966587052,0.0303188367166989,5.55947120458476e-05
