"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
1501,20,20,5,5,"rectangle",400,"small",1,1,125,4,5,1.25,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.7195412274048e-08,9.86031607364708e-08,NA,1,1,99.9180183798885,100,1,80.431299280612,99.8861094436563,99.9179791455464,22.4387953347869,0.0313108246997419,2.32182564649904e-05
1502,20,20,5,5,"rectangle",400,"small",1,1,125,4,5,1.25,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.2938624958763e-08,7.4193586865954e-08,NA,1,1,99.9180183921635,100,1,84.9233248916646,99.8933309114817,99.9179908846681,17.0001136475515,0.0235771385008695,1.74705237441385e-05
1503,20,20,5,5,"rectangle",400,"small",1,1,125,4,5,1.25,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.1,0.286,0.423,0.1,0.7,0.1,0.1,"up",600,0,0,1.92931963556045e-08,1.10632423903789e-07,NA,1,1,99.9180183796683,100,1,81.1609846578328,99.8902914216106,99.9179803990249,23.550592486148,0.035160625655106,2.60508377533546e-05
1504,300,300,5,5,"rectangle",90000,"XL",1,1,125,4,5,1.25,4,30,30,100,5,5,100,27000,4500,0,0,0,2700000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.67212477630596e-09,9.58841725883491e-09,NA,1,1,99.9180184172816,100,1,91.1892432494089,99.9132250205015,99.9180130514492,2.77082287611603,0.00304800480695108,2.25780459180615e-06
1505,300,300,5,5,"rectangle",90000,"XL",1,1,125,4,5,1.25,4,30,30,100,5,5,100,27000,4500,0,0,0,2700000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.82254988790291e-09,1.04509956715912e-08,NA,1,1,99.9180184176973,100,1,91.7666979439575,99.9140637332471,99.91801366175,3.05630618953246,0.00332234729315484,2.4609178234568e-06
1506,300,300,5,5,"rectangle",90000,"XL",1,1,125,4,5,1.25,4,30,30,100,5,5,100,27000,4500,0,0,0,2700000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.1,0.286,0.423,0.1,0.7,0.1,0.1,"up",600,0,0,1.78803373606668e-09,1.02530706894266e-08,NA,1,1,99.918018417606,100,1,91.4874478639056,99.9138636484948,99.9180135266708,3.36306391837528,0.00325944761818202,2.41431207052802e-06
1507,300,300,5,5,"rectangle",90000,"XL",1,1,125,4,5,1.25,4,30,30,100,15,15,100,27000,13500,0,0,0,2700000,1350000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,6.77180032141109e-09,3.88313408367102e-08,NA,1,1,99.9180184050351,100,1,86.4348767723733,99.9049536462715,99.9180019581482,11.2214525117281,0.0123392322990284,9.14369214055776e-06
1508,300,300,5,5,"rectangle",90000,"XL",1,1,125,4,5,1.25,4,30,30,100,15,15,100,27000,13500,0,0,0,2700000,1350000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,5.60712118790786e-09,3.21527545964501e-08,NA,1,1,99.9180184092764,100,1,88.9663709941496,99.9088167157286,99.9180062347055,9.79684383835619,0.0102189263349767,7.57107380309855e-06
1509,300,300,5,5,"rectangle",90000,"XL",1,1,125,4,5,1.25,4,30,30,100,15,15,100,27000,13500,0,0,0,2700000,1350000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.1,0.286,0.423,0.1,0.7,0.1,0.1,"up",600,0,0,6.65724385524355e-09,3.81744429596931e-08,NA,1,1,99.918018406928,100,1,87.9742247158409,99.9073228786824,99.9180041597302,11.2798874302172,0.012132360306524,8.98901316887326e-06
1510,300,300,5,5,"rectangle",90000,"XL",1,1,125,4,5,1.25,4,30,30,100,30,30,100,27000,27000,0,0,0,2700000,2700000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.36483984521708e-08,7.82636208109358e-08,NA,1,1,99.9180183883249,100,1,82.5030470957061,99.8928188204295,99.9179867627593,18.1339323025561,0.02485739182625,1.84288759055506e-05
