"TOTALN","initial_perc_SAV_cover","initial_perc_FP_cover","wind_direction","wind_shape2","size"
"1","5","5","all","4","small"
"1","5","5","all","4","medium"
"1","5","5","all","4","large"
"1","5","5","all","4","XL"
"1","5","5","all","0.2","small"
"1","5","5","all","0.2","medium"
"1","5","5","all","0.2","large"
"1","5","5","all","0.2","XL"
"1","5","5","all","0.1","small"
"1","5","5","all","0.1","medium"
"1","5","5","all","0.1","large"
"1","5","5","all","0.1","XL"
"1","5","5","up","4","small"
"1","5","5","up","4","medium"
"1","5","5","up","4","large"
"1","5","5","up","4","XL"
"1","5","5","up","0.2","small"
"1","5","5","up","0.2","medium"
"1","5","5","up","0.2","large"
"1","5","5","up","0.2","XL"
"1","5","5","up","0.1","small"
"1","5","5","up","0.1","medium"
"1","5","5","up","0.1","large"
"1","5","5","up","0.1","XL"
"1","5","15","all","4","small"
"1","5","15","all","4","medium"
"1","5","15","all","4","large"
"1","5","15","all","4","XL"
"1","5","15","all","0.2","small"
"1","5","15","all","0.2","medium"
"1","5","15","all","0.2","large"
"1","5","15","all","0.2","XL"
"1","5","15","all","0.1","small"
"1","5","15","all","0.1","medium"
"1","5","15","all","0.1","large"
"1","5","15","all","0.1","XL"
"1","5","15","up","4","small"
"1","5","15","up","4","medium"
"1","5","15","up","4","large"
"1","5","15","up","4","XL"
"1","5","15","up","0.2","small"
"1","5","15","up","0.2","medium"
"1","5","15","up","0.2","large"
"1","5","15","up","0.2","XL"
"1","5","15","up","0.1","small"
"1","5","15","up","0.1","medium"
"1","5","15","up","0.1","large"
"1","5","15","up","0.1","XL"
"1","5","30","all","4","small"
"1","5","30","all","4","medium"
"1","5","30","all","4","large"
"1","5","30","all","4","XL"
"1","5","30","all","0.2","small"
"1","5","30","all","0.2","medium"
"1","5","30","all","0.2","large"
"1","5","30","all","0.2","XL"
"1","5","30","all","0.1","small"
"1","5","30","all","0.1","medium"
"1","5","30","all","0.1","large"
"1","5","30","all","0.1","XL"
"1","5","30","up","4","small"
"1","5","30","up","4","medium"
"1","5","30","up","4","large"
"1","5","30","up","4","XL"
"1","5","30","up","0.2","small"
"1","5","30","up","0.2","medium"
"1","5","30","up","0.2","large"
"1","5","30","up","0.2","XL"
"1","5","30","up","0.1","small"
"1","5","30","up","0.1","medium"
"1","5","30","up","0.1","large"
"1","5","30","up","0.1","XL"
"1","15","5","all","4","small"
"1","15","5","all","4","medium"
"1","15","5","all","4","large"
"1","15","5","all","4","XL"
"1","15","5","all","0.2","small"
"1","15","5","all","0.2","medium"
"1","15","5","all","0.2","large"
"1","15","5","all","0.2","XL"
"1","15","5","all","0.1","small"
"1","15","5","all","0.1","medium"
"1","15","5","all","0.1","large"
"1","15","5","all","0.1","XL"
"1","15","5","up","4","small"
"1","15","5","up","4","medium"
"1","15","5","up","4","large"
"1","15","5","up","4","XL"
"1","15","5","up","0.2","small"
"1","15","5","up","0.2","medium"
"1","15","5","up","0.2","large"
"1","15","5","up","0.2","XL"
"1","15","5","up","0.1","small"
"1","15","5","up","0.1","medium"
"1","15","5","up","0.1","large"
"1","15","5","up","0.1","XL"
"1","15","15","all","4","small"
"1","15","15","all","4","medium"
"1","15","15","all","4","large"
"1","15","15","all","4","XL"
"1","15","15","all","0.2","small"
"1","15","15","all","0.2","medium"
"1","15","15","all","0.2","large"
"1","15","15","all","0.2","XL"
"1","15","15","all","0.1","small"
"1","15","15","all","0.1","medium"
"1","15","15","all","0.1","large"
"1","15","15","all","0.1","XL"
"1","15","15","up","4","small"
"1","15","15","up","4","medium"
"1","15","15","up","4","large"
"1","15","15","up","4","XL"
"1","15","15","up","0.2","small"
"1","15","15","up","0.2","medium"
"1","15","15","up","0.2","large"
"1","15","15","up","0.2","XL"
"1","15","15","up","0.1","small"
"1","15","15","up","0.1","medium"
"1","15","15","up","0.1","large"
"1","15","15","up","0.1","XL"
"1","15","30","all","4","small"
"1","15","30","all","4","medium"
"1","15","30","all","4","large"
"1","15","30","all","4","XL"
"1","15","30","all","0.2","small"
"1","15","30","all","0.2","medium"
