"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
901,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,0.000325225826740967,0.00190127878786738,NA,0.75,0.75,99.9168912205471,100,1,49.5995224956796,94.8874086802285,99.597916605205,99.9168912205471,14.9707974570949,4.48228792430473,0.275687432259438,0.000325225826740967
902,20,20,5,5,"rectangle",400,"small",1,1,125,4,1,0.25,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,0.00319200985446969,0.0194207589553679,NA,0.75,0.75,99.9091826056139,100,1,40.6748188349902,81.2236098935322,96.6709647766501,99.9091826056139,22.3156176060235,15.7424036082685,2.6683809846427,0.00319200985446969
903,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,2,0.5,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,7.13953312138658,9.87280968830634,NA,0.75,0.75,93.3017532358736,96.8750511577342,1,42.5826942431095,76.3356125311094,86.5557350035081,93.3017532358736,24.6155356381616,24.2994547138662,14.2763731139924,7.13953312138658
904,20,20,5,5,"rectangle",400,"small",1,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,11.2281340029494,14.175573166238,NA,0.75,0.75,88.5340288477153,93.7443443687063,1,42.3147343760419,71.4905865874496,79.3259551827721,88.5340288477153,21.5469333283105,28.0508454798076,20.1969303764921,11.2281340029494
905,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,3,0.75,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,33.7927404692993,38.2150138733902,NA,0,0,68.8527847221846,69.8300727982619,NA,42.2185330070935,66.4727971307254,68.1115469414879,68.8527847221846,25.9200652385187,36.0170246862102,33.6590262677588,33.7927404692993
906,20,20,5,5,"rectangle",400,"small",1,1,125,4,3,0.75,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,14.7314007042533,16.2471891219073,NA,0.75,0.75,85.6827870467777,86.1035816608895,1,54.3525343125763,83.990929171297,84.6939634253716,85.6827870467777,15.2884440577107,16.9964866854245,16.3686967640575,14.7314007042533
907,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,4,1,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,38.3050094936512,42.6899458913789,NA,0,0,64.3619591736178,64.4222079543463,NA,41.4735446867265,64.3073087840444,64.3730580977164,64.3619591736178,26.0729979514561,36.5525534488562,38.273207136242,38.3050094936512
908,20,20,5,5,"rectangle",400,"small",1,1,125,4,4,1,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,37.121449206454,39.4990599752608,NA,0,0,63.9494662336861,64.0058151770003,NA,43.4006037183771,63.6642105945724,63.9637758642285,63.9494662336861,28.0631707292557,36.9959637129823,37.3240624238798,37.121449206454
909,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,5,1.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,45.7725313596743,50.0927536266115,NA,0,0,57.6345721803255,57.7074966876474,NA,38.0936246309953,57.5651211984325,57.5886808519978,57.6345721803255,31.3389017037453,44.5622135213834,47.5091707303027,45.7725313596743
910,20,20,5,5,"rectangle",400,"small",1,1,125,4,5,1.25,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,33.3532428161258,37.9026840968799,NA,0.75,0.75,71.9290160454083,72.0026576573314,2,47.2452983514443,72.0857156185987,71.9517216356807,71.9290160454083,22.1806592998195,30.0227081438256,32.1330775275783,33.3532428161258
