"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
1,250,250,5,5,"rectangle",62500,"large",1,1,120,4,1,0.25,4,1,1,100,1,1,100,625,625,0,0,0,62500,62500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,30,0,0,6.71294311625389e-07,3.92416003672816e-06,NA,0.75,0.75,99.9139121133337,100,1,40.6051734309069,95.2664849576568,99.8933718343519,99.9139121133337,19.5251750056471,1.968680443311,0.00216875475890941,6.71294311625389e-07
2,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,30,0,0,0.198407857699485,0.66862619984767,NA,0.75,0.75,99.3263015985379,99.964735230524,1,42.1361072739546,91.3347098093216,97.7669714177691,99.3263015985379,18.4085155734063,4.03898210805837,0.825302681145763,0.198407857699485
3,20,20,5,5,"rectangle",400,"small",1,1,120,4,1,0.25,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,30,0,0,1.58255054584142e-06,9.25105639299962e-06,NA,0.75,0.75,99.9139024956252,100,1,45.9703247135799,92.3451765133579,99.883136907544,99.9139024956252,9.29823421040606,3.88554397404014,0.00516411119086197,1.58255054584142e-06
4,300,300,5,5,"rectangle",90000,"XL",1,1,120,4,1,0.25,4,1,1,100,1,1,100,900,900,0,0,0,90000,90000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,30,0,0,2.55240428331091e-05,0.000149204014696126,NA,0.75,0.75,99.9137530176251,100,1,39.2355104599739,95.0956162778887,99.8293847292775,99.9137530176251,21.9939887076801,1.90545118291317,0.0278580161605447,2.55240428331091e-05
5,250,250,5,5,"rectangle",62500,"large",1,1,120,4,1,0.25,4,1,1,100,1,1,100,625,625,0,0,0,62500,62500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,30,0,0,5.26441355407626e-07,3.07739847173096e-06,NA,0.75,0.75,99.913917727595,100,1,40.5807665137296,95.8651658062247,99.9054165368362,99.913917727595,20.2042179724624,1.61108902085907,0.00171759318006596,5.26441355407626e-07
6,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,30,0,0,9.69944236313149e-07,5.66996668391928e-06,NA,0.75,0.75,99.9139109242812,100,1,42.7484628792357,94.1785033017345,99.896183138296,99.9139109242812,16.1229690609257,3.19025692365009,0.00316420060130901,9.69944236313149e-07
7,20,20,5,5,"rectangle",400,"small",1,1,120,4,1,0.25,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,30,0,0,0.000178963253246045,0.00104615152759042,NA,0.75,0.75,99.9129985070585,100,1,40.9417383908564,85.2763409986934,99.3015694320226,99.9129985070585,13.921023500222,8.95399609422721,0.197097847807015,0.000178963253246045
8,300,300,5,5,"rectangle",90000,"XL",1,1,120,4,1,0.25,4,1,1,100,1,1,100,900,900,0,0,0,90000,90000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.1,0.7,0.1,0.1,"up",600,30,0,0,5.07497765353288e-07,2.96666042487941e-06,NA,0.75,0.75,99.9139151324685,100,1,39.19767884639,95.5860398641035,99.8984998919186,99.9139151324685,22.8068470387076,1.38411434663287,0.00156716353948626,5.07497765353288e-07
9,250,250,5,5,"rectangle",62500,"large",1,1,120,4,1,0.25,4,1,1,100,5,5,100,625,3125,0,0,0,62500,312500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,30,0,0,3.1321963139071e-05,0.000183096969687897,NA,0.75,0.75,99.9137901764609,100,1,28.8014683880125,92.1691730423649,99.7706610966436,99.9137901764609,31.9419734784893,3.28297368760028,0.0379806588678071,3.1321963139071e-05
10,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,30,0,0,1.84411492887062e-05,0.000107800526043666,NA,0.75,0.75,99.9138160318539,100,1,28.4373679547385,88.0370784046828,99.7423089355716,99.9138160318539,33.9986161447329,6.21542128350905,0.028683354013221,1.84411492887062e-05
