"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
1,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,0,0,3.40182311973577e-10,1.98859101887031e-09,NA,0.75,0.75,99.9139244899872,100,1,51.4829321234468,99.0484993656143,99.9134222566776,99.9139244899872,3.70998845706512,0.00359676567393398,1.11065750751305e-06,3.40182311973577e-10
2,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,2,0,0,6.22177743710421e-10,3.63704116803013e-09,NA,0.75,0.75,99.9139243841375,100,1,51.816284050303,98.8527065646317,99.9133220600816,99.9139243841375,4.66294021159262,0.00651482238732999,2.03134130964146e-06,6.22177743710421e-10
3,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,5,0,0,2.33110203791317e-09,1.36268360037754e-08,NA,0.75,0.75,99.9139246318021,100,1,50.4221366115232,99.1394996111093,99.9135577505811,99.9139246318021,7.61519692141511,0.0235916289583935,7.61078972897957e-06,2.33110203791317e-09
4,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,10,0,0,7.84711718752972e-09,4.58715994721368e-08,NA,0.75,0.75,99.9139241152516,100,1,48.7989237268601,98.3993760963898,99.9130780677517,99.9139241152516,8.84195896327066,0.0621811951869254,2.56199758844397e-05,7.84711718752972e-09
5,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,0,0,1.44863580684954e-09,8.46823615961119e-09,NA,0.75,0.75,99.9139230502922,100,1,40.3672313713818,97.74805128775,99.911533526161,99.9139230502922,14.6240831756088,0.0151887714436384,4.72962956829348e-06,1.44863580684954e-09
6,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,2,0,0,2.62254373158054e-09,1.53305058130604e-08,NA,0.75,0.75,99.9139205135398,100,1,36.9704769395494,95.9680069375652,99.9075912675671,99.9139205135398,17.7967075586906,0.0266160736896474,8.56204246069825e-06,2.62254373158054e-09
7,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,5,0,0,6.19867781119138e-09,3.62353790587773e-08,NA,0.75,0.75,99.9119826866922,100,1,38.3055328384095,95.0860280289605,99.4422207342888,99.9119826866922,20.7093925623626,0.0500531756842877,1.99144484872763e-05,6.19867781119138e-09
8,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,10,0,0,7.53771333372453e-08,4.40629288409239e-07,NA,0.75,0.75,99.9138924597851,100,1,32.5172605061254,94.1424005453053,99.852193440711,99.9138924597851,26.5032374600538,0.305895604931478,0.000225498960433483,7.53771333372453e-08
9,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,0,0,1.76518949360832e-09,1.03187022077321e-08,NA,0.75,0.75,99.9139231487294,100,1,31.7403400308089,96.705260893314,99.9121237013433,99.9139231487294,21.8679305516402,0.0183629327345978,5.7631478640583e-06,1.76518949360832e-09
10,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,2,0,0,2.37580695674874e-09,1.38881658759619e-08,NA,0.75,0.75,99.9139187515726,100,1,31.8023819093886,95.4916133118596,99.9033461444862,99.9139187515726,22.5283682803857,0.0240249642857839,7.75551599629525e-06,2.37580695674874e-09
11,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,5,0,0,3.08740613291888e-09,1.80479345674809e-08,NA,0.75,0.75,99.9139233049448,100,1,34.3649935740976,96.8444611637269,99.9123000638388,99.9139233049448,20.4811230504212,0.0283772792051998,1.00800386154819e-05,3.08740613291888e-09
12,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,10,0,0,2.12052951916108e-08,1.23959001051464e-07,NA,0.75,0.75,99.9139210692372,100,1,31.1965932447744,95.5862486708385,99.909029490737,99.9139210692372,25.0629126220546,0.129424265133997,6.92320391697011e-05,2.12052951916108e-08
13,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,30,30,100,100,3000,0,0,0,10000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,0,0,2.96831939459605e-09,1.73517936749319e-08,NA,0.75,0.75,99.9139093400551,100,1,25.3305247369406,92.6315855400682,99.8841921701461,99.9139093400551,27.2162193924427,0.0302453522534354,9.68757985515816e-06,2.96831939459605e-09
14,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,30,30,100,100,3000,0,0,0,10000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,2,0,0,3.60200037427696e-09,2.10560788792663e-08,NA,0.75,0.75,99.9139184205998,100,1,26.076644325234,93.7560746719696,99.9050937504985,99.9139184205998,28.3176544634568,0.0356890919461857,1.17593988362249e-05,3.60200037427696e-09
15,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,30,30,100,100,3000,0,0,0,10000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,5,0,0,8.00654591819981e-09,4.68035660425098e-08,NA,0.75,0.75,99.9139190306382,100,1,25.0492330510138,93.9317831359085,99.9053576560059,99.9139190306382,30.8831811419379,0.0650714540271028,2.61396112909128e-05,8.00654591819981e-09
16,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,30,30,100,100,3000,0,0,0,10000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,10,0,0,3.96310303088542e-08,2.31669631718082e-07,NA,0.75,0.75,99.9139204749991,100,1,26.3102382402943,94.2258598814961,99.9093571979388,99.9139204749991,31.4033874635313,0.218481063348012,0.000129390969735146,3.96310303088542e-08
17,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,0,0,5.53395852293495e-09,3.23496543768567e-08,NA,0.75,0.75,99.9139082501217,100,1,18.4186117564408,89.7288920525223,99.8848850080848,99.9139082501217,38.763165765099,0.0553095412640139,1.80604236124131e-05,5.53395852293495e-09
18,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,2,0,0,8.65663975236054e-09,5.06037952566443e-08,NA,0.75,0.75,99.9139103952904,100,1,18.3422104725204,88.3096635119941,99.8942775711513,99.9139103952904,38.5904958320723,0.0797278383829398,2.82610110380435e-05,8.65663975236054e-09
19,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,1,0.25,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,5,0,0,8.94468091367461e-08,5.2287586696713e-07,NA,0.75,0.75,99.9139031359569,100,1,14.4505316424307,85.8361410463489,99.8805370180464,99.9139031359569,46.5040615997142,0.553257397960192,0.000291930174043627,8.94468091367461e-08
