"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
5501,276,275,58,58,"cross",62444,"large",NA,1,120,4,2,0.5,4,5,5,100.0064061,15,15,99.99572969,3122,9367,0,0,0,312220,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,1.00976149673145e-07,5.74615182613812e-07,NA,0.75,0.75,99.821120400413,99.9071167766319,1,33.708638295534,97.6774784120519,99.8199547091441,99.821120400413,55.5935241449108,0.404849960368204,0.000231010493909412,1.00976149673145e-07
5502,276,275,58,58,"cross",62444,"large",NA,1,120,4,2,0.5,4,5,5,100.0064061,15,15,99.99572969,3122,9367,0,0,0,312220,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",0.25,0.25,2.97018868339837e-05,0.000169028535363357,NA,0.75,0.75,99.820978028158,99.9071167766319,1,16.6912306001529,73.1734600636456,99.6370347815937,99.820978028158,78.4158747823997,25.3607431738744,0.0600969576612423,2.97018868339837e-05
5503,276,275,58,58,"cross",62444,"large",NA,1,120,4,2,0.5,4,5,5,100.0064061,15,15,99.99572969,3122,9367,0,0,0,312220,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",0.25,0.25,2.274614959266e-06,1.29439327727542e-05,NA,0.75,0.75,99.8211055320524,99.9071167766319,1,17.8712570720121,89.1553805439579,99.8068532487665,99.8211055320524,72.0737335960437,5.81734376976571,0.00518350608445141,2.274614959266e-06
5504,276,275,58,58,"cross",62444,"large",NA,1,120,4,2,0.5,4,5,5,100.0064061,15,15,99.99572969,3122,9367,0,0,0,312220,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",0.25,0.25,4.19937507163074e-06,2.3897014846447e-05,NA,0.75,0.75,99.8210945121253,99.9071167766319,1,19.4182426178781,85.9475693559185,99.7963174683743,99.8210945121253,71.2964851138346,9.69681868991196,0.00959129554228878,4.19937507163074e-06
5505,121,120,34,33,"cross",10032,"med1",NA,1,120,4,2,0.5,4,5,5,99.92031873,15,15,99.98671096,502,1505,0,0,0,50160,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,98.895033565534,99.6710526315789,1,0,0,0.308332879408506,0.52388173760423,NA,13.9812090014403,0.980618089281987,0.160177876551111,0.308332879408506,88.6033929140674,99.0317595764342,99.342388282432,98.895033565534
5506,121,120,34,33,"cross",10032,"med1",NA,1,120,4,2,0.5,4,5,5,99.92031873,15,15,99.98671096,502,1505,0,0,0,50160,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,97.8151790559505,99.6710526315789,1,0,0,2.11514589557792,2.84988788952513,NA,16.693505005786,2.10987959762922,2.72523235227049,2.11514589557792,87.1175860026469,98.1044903258345,97.4330031232576,97.8151790559505
5507,121,120,34,33,"cross",10032,"med1",NA,1,120,4,2,0.5,4,5,5,99.92031873,15,15,99.98671096,502,1505,0,0,0,50160,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,98.2562911154127,99.6710526315789,1,0,0,0.974975252026152,1.19971018748155,NA,14.813825240275,0.88761623198714,0.453028351030968,0.974975252026152,88.4359661664429,98.8941241411508,98.6103735238857,98.2562911154127
5508,121,120,34,33,"cross",10032,"med1",NA,1,120,4,2,0.5,4,5,5,99.92031873,15,15,99.98671096,502,1505,0,0,0,50160,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,87.5136925786934,90.4318801026287,2,0,0,11.0778581393559,12.8494127543734,NA,13.5391704007338,6.72324038856477,8.55068181026458,11.0778581393559,87.1692053992783,92.983704647625,90.85138620584,87.5136925786934
5509,175,175,45,45,"cross",22525,"med2",NA,1,120,4,2,0.5,4,5,5,100.0222025,15,15,99.99260136,1126,3379,0,0,0,112625,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,98.8320256703825,99.7920475317667,1,0,0,1.0812684614539,1.40912714914401,NA,9.08295238562057,1.95934100960632,1.33300973668169,1.0812684614539,91.7788478289263,98.3093488212283,98.3091684575107,98.8320256703825
5510,175,175,45,45,"cross",22525,"med2",NA,1,120,4,2,0.5,4,5,5,100.0222025,15,15,99.99260136,1126,3379,0,0,0,112625,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,85.7069848573448,87.2975951999862,3,0,0,12.9967083151466,14.6181775371531,NA,11.0712837399759,6.57857513379384,9.89982595325286,12.9967083151466,89.0073647255826,92.6234087013473,89.0110083534547,85.7069848573448
