"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
11001,276,275,58,58,"cross",62444,"large",NA,1,120,4,3,0.75,4,30,30,100.0010676,1,1,100.0705128,18733,624,0,0,0,1873320,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,7.69312357752204e-10,4.22675550277541e-09,NA,1,1,99.8211217371079,99.9071167766319,1,91.4879913755843,99.8153812537796,99.8211139683488,99.8211217371079,3.22227916801633,0.00323691529914865,1.58009263067244e-06,7.69312357752204e-10
11002,276,275,58,58,"cross",62444,"large",NA,1,120,4,3,0.75,4,30,30,100.0010676,1,1,100.0705128,18733,624,0,0,0,1873320,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,7.16453372597298e-10,3.93633713440318e-09,NA,1,1,99.8211217379058,99.9071167766319,1,91.7529682214447,99.8158613846414,99.8211146766528,99.8211217379058,2.9166612921117,0.00300869142384359,1.47150333916134e-06,7.16453372597298e-10
11003,276,275,58,58,"cross",62444,"large",NA,1,120,4,3,0.75,4,30,30,100.0010676,1,1,100.0705128,18733,624,0,0,0,1873320,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,7.00892708108483e-10,3.85084431909736e-09,NA,1,1,99.8211217375055,99.9071167766319,1,91.5439466111066,99.8155260394806,99.8211142764903,99.8211217375055,3.01495205299657,0.00294965786244217,1.43956511413188e-06,7.00892708108483e-10
11004,276,275,58,58,"cross",62444,"large",NA,1,120,4,3,0.75,4,30,30,100.0010676,1,1,100.0705128,18733,624,0,0,0,1873320,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,4.62158320179015e-10,2.53918936404153e-09,NA,1,1,99.8211217398437,99.9071167766319,1,91.9950251986928,99.8168533406404,99.8211162628465,99.8211217398437,1.89562975606499,0.00194216991359143,9.49217496302282e-07,4.62158320179015e-10
11005,121,120,34,33,"cross",10032,"med1",NA,1,120,4,3,0.75,4,30,30,99.98671096,1,1,100.32,3010,100,0,0,0,300960,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,3.12174247552218e-09,1.71513176834549e-08,NA,1,1,99.5852607711071,99.6710526315789,1,91.5381873392756,99.5737214350455,99.5852429544901,99.5852607711071,4.0592059892613,0.0130212378812347,6.41076896758512e-06,3.12174247552218e-09
11006,121,120,34,33,"cross",10032,"med1",NA,1,120,4,3,0.75,4,30,30,99.98671096,1,1,100.32,3010,100,0,0,0,300960,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,6.2480453469167e-09,3.43275968327097e-08,NA,1,1,99.5852607546727,99.6710526315789,1,90.7230373177296,99.5632561662416,99.585230555554,99.5852607546727,4.26759608712062,0.0245474740322285,1.2825429018325e-05,6.2480453469167e-09
11007,121,120,34,33,"cross",10032,"med1",NA,1,120,4,3,0.75,4,30,30,99.98671096,1,1,100.32,3010,100,0,0,0,300960,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,2.4149716973789e-09,1.32682143049309e-08,NA,1,1,99.5852607742262,99.6710526315789,1,91.1048487095696,99.5745372005111,99.5852451907659,99.5852607742262,3.69924602597286,0.0101216826796571,4.95937267906743e-06,2.4149716973789e-09
11008,121,120,34,33,"cross",10032,"med1",NA,1,120,4,3,0.75,4,30,30,99.98671096,1,1,100.32,3010,100,0,0,0,300960,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,9.10560417248081e-09,5.00274975671851e-08,NA,1,1,99.5852607383053,99.6710526315789,1,90.0918085580183,99.5563866675611,99.5852178999465,99.5852607383053,6.23890541209691,0.0373019009661038,1.86972591504472e-05,9.10560417248081e-09
11009,175,175,45,45,"cross",22525,"med2",NA,1,120,4,3,0.75,4,30,30,99.99260136,1,1,100.1111111,6758,225,0,0,0,675750,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,1.46565125991225e-09,8.05253745449944e-09,NA,1,1,99.7143189410715,99.8002219755827,1,91.1227700632647,99.7063968387412,99.7143074474239,99.7143189410715,3.84702324815335,0.00615276110348386,3.01006314336698e-06,1.46565125991225e-09
11010,175,175,45,45,"cross",22525,"med2",NA,1,120,4,3,0.75,4,30,30,99.99260136,1,1,100.1111111,6758,225,0,0,0,675750,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.123,0.5,0.197,0.312,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,1.48658268855215e-09,8.16753690826254e-09,NA,1,1,99.7143189418772,99.8002219755827,1,91.5738673614377,99.7072147300266,99.714308241743,99.7143189418772,3.59597869091837,0.00623688052596864,3.05302024032464e-06,1.48658268855215e-09
11011,175,175,45,45,"cross",22525,"med2",NA,1,120,4,3,0.75,4,30,30,99.99260136,1,1,100.1111111,6758,225,0,0,0,675750,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,2.1874560111717e-09,1.20182554269465e-08,NA,1,1,99.7143189362237,99.8002219755827,1,90.6646048834824,99.704251113908,99.7143035705176,99.7143189362237,5.38033980411079,0.00916671359969774,4.49245378997469e-06,2.1874560111717e-09
11012,175,175,45,45,"cross",22525,"med2",NA,1,120,4,3,0.75,4,30,30,99.99260136,1,1,100.1111111,6758,225,0,0,0,675750,22525,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,1.11692958060369e-09,6.13659958302825e-09,NA,1,1,99.7143189445004,99.8002219755827,1,91.7516487917099,99.7085291611505,99.7143103618998,99.7143189445004,2.9466911341271,0.00469096731700031,2.29384758109322e-06,1.11692958060369e-09
11013,30,30,11,11,"cross",416,"small",NA,1,120,4,3,0.75,4,30,30,99.84,1,1,104,125,4,0,0,0,12480,416,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A1",0.25,0.25,72.2141114059008,90.149391522919,61,0.25,0.25,39.2432036659877,43.036070348383,NA,84.875334645189,68.4736021002461,57.3632687274029,39.2432036659877,18.4046391648692,35.8534760848341,50.5804685507405,72.2141114059008
11014,30,30,11,11,"cross",416,"small",NA,1,120,4,3,0.75,4,30,30,99.84,1,1,104,125,4,0,0,0,12480,416,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A1",0.5,0.5,85.1640472724531,90.2505646569242,1,0.25,0.25,17.4853744952328,20.287972561307,NA,86.3539319414653,69.2526339175547,38.166659091857,17.4853744952328,16.6264023475988,43.6338791715527,73.7456956224902,85.1640472724531
11015,30,30,11,11,"cross",416,"small",NA,1,120,4,3,0.75,4,30,30,99.84,1,1,104,125,4,0,0,0,12480,416,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A2",0.5,0.25,87.3997608519696,95.4346936942034,2,0.25,0.25,18.587046925503,22.8930896274568,NA,86.4203846934348,64.0961309510297,40.1287952006976,18.587046925503,18.6429741056167,47.2800880776298,70.3881681020717,87.3997608519696
11016,30,30,11,11,"cross",416,"small",NA,1,120,4,3,0.75,4,30,30,99.84,1,1,104,125,4,0,0,0,12480,416,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A2",0.25,0.25,84.3204761888025,87.837318314396,2,0.5,0.5,21.960496254886,26.5678094945676,NA,86.6052073323424,73.4659939484096,44.5264578238396,21.960496254886,15.7046961917204,39.8964816117166,67.4919772607622,84.3204761888025
11017,351,350,91,90,"cross",90090,"XL",NA,1,120,4,3,0.75,4,30,30,100,1,1,99.98890122,27027,901,0,0,0,2702700,90090,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,1.25805832624308e-09,6.9119854521975e-09,NA,1,1,99.8141108973375,99.9000999000999,1,91.4374611729024,99.8071777516838,99.814100764084,99.8141108973375,3.85111568498436,0.00528910287280089,2.58372128712423e-06,1.25805832624308e-09
11018,351,350,91,90,"cross",90090,"XL",NA,1,120,4,3,0.75,4,30,30,100,1,1,99.98890122,27027,901,0,0,0,2702700,90090,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,1.18433538673868e-09,6.5069370231705e-09,NA,1,1,99.8141108985664,99.9000999000999,1,91.8322757205222,99.8079860379159,99.8141018632853,99.8141108985664,3.54151552216726,0.00497499288377576,2.43230650449885e-06,1.18433538673868e-09
11019,351,350,91,90,"cross",90090,"XL",NA,1,120,4,3,0.75,4,30,30,100,1,1,99.98890122,27027,901,0,0,0,2702700,90090,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,1.19044414666894e-09,6.54050176032806e-09,NA,1,1,99.8141108979147,99.9000999000999,1,91.5951291547999,99.8074896685859,99.8141012452001,99.8141108979147,3.82746028442866,0.0050050407730287,2.44486035453382e-06,1.19044414666894e-09
