"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
12751,175,175,90,90,"hook",22525,"med2",NA,1,120,4,2,0.5,4,30,30,99.99260136,15,15,99.99260136,6758,3379,0,0,0,675750,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,1.18802832345e-08,6.76056186123071e-08,NA,1,1,99.9139248820251,100,1,75.2175379115289,99.810485474756,99.9138066629597,99.9139248820251,37.4514428812678,0.0621408743699052,2.71776149739599e-05,1.18802832345e-08
12752,175,175,90,90,"hook",22525,"med2",NA,1,120,4,2,0.5,4,30,30,99.99260136,15,15,99.99260136,6758,3379,0,0,0,675750,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,2.65620059699943e-08,1.51153042062593e-07,NA,1,1,99.9139247858479,100,1,74.5527033766336,99.7294694501139,99.9137323161757,99.9139247858479,39.3259597512081,0.122678829565628,6.0761371196621e-05,2.65620059699943e-08
12753,30,30,25,20,"hook",400,"small",NA,1,120,4,2,0.5,4,30,30,100,15,15,100,120,60,0,0,0,12000,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,99.8304706764322,100,1,0,0,4.37662634400686e-05,0.000112081827330834,NA,60.0105322156528,2.07430891401972,0.0102028350891472,4.37662634400686e-05,76.8758896127493,99.8732480536702,99.5515111294257,99.8304706764322
12754,30,30,25,20,"hook",400,"small",NA,1,120,4,2,0.5,4,30,30,100,15,15,100,120,60,0,0,0,12000,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,99.9080087792081,100,1,0,0,0.000822284791715812,0.00217827048707691,NA,50.9223662311633,4.91164705403159,0.198650846166583,0.000822284791715812,79.2926449260404,98.6214409099248,99.2437059781875,99.9080087792081
12755,30,30,25,20,"hook",400,"small",NA,1,120,4,2,0.5,4,30,30,100,15,15,100,120,60,0,0,0,12000,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,99.910557505334,100,1,0,0,2.78205589233003e-05,7.38372335800591e-05,NA,51.4584567435415,1.90972698327857,0.00715703380869761,2.78205589233003e-05,77.4235763021039,99.8808677954086,99.8274468369113,99.910557505334
12756,30,30,25,20,"hook",400,"small",NA,1,120,4,2,0.5,4,30,30,100,15,15,100,120,60,0,0,0,12000,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,99.5966025779932,100,1,0,0,8.86170340508425e-05,0.000185307819181081,NA,54.4174740563644,3.60250957060397,0.0208394855777582,8.86170340508425e-05,75.6631288320112,99.4017626802239,99.9087841918467,99.5966025779932
12757,400,400,275,255,"hook",89875,"XL",NA,1,120,4,2,0.5,4,30,30,99.99814561,15,15,100.0018545,26963,13481,0,0,0,2696250,1348125,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.25,0.25,0.25,0.25,"all",600,10,"A1",1,1,98.9949754059391,100,1,0,0,1.24859525214962,1.47306033531435,NA,32.5440264490839,1.99441617787408,1.14416514804829,1.24859525214962,90.4515679013933,98.6283724736346,98.5935627909348,98.9949754059391
12758,400,400,275,255,"hook",89875,"XL",NA,1,120,4,2,0.5,4,30,30,99.99814561,15,15,100.0018545,26963,13481,0,0,0,2696250,1348125,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.5,0.5,0.5,0.354,0.1,0.7,0.1,0.1,"up",600,10,"A1",1,1,79.682839254937,82.6143092838402,1,0,0,18.4792751637782,20.8610018454486,NA,38.3568665762791,12.023705659079,14.6528557748656,18.4792751637782,85.2358389358642,87.7793469854549,84.2295862832282,79.682839254937
12759,400,400,275,255,"hook",89875,"XL",NA,1,120,4,2,0.5,4,30,30,99.99814561,15,15,100.0018545,26963,13481,0,0,0,2696250,1348125,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,97.7303644603896,100,1,0,0,2.35963853553468,2.91807115937981,NA,32.6564096837267,3.30497283309702,2.23328127573044,2.35963853553468,89.2014012597161,98.3121466202574,98.2496337979274,97.7303644603896
12760,400,400,275,255,"hook",89875,"XL",NA,1,120,4,2,0.5,4,30,30,99.99814561,15,15,100.0018545,26963,13481,0,0,0,2696250,1348125,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.1,0.7,0.1,0.1,"up",600,10,"A2",0.75,0.75,62.0188043236344,65.6250984816323,NA,0,0,34.7363922392711,38.5557530646293,NA,56.0018001798683,22.6629992201669,27.867326540537,34.7363922392711,77.6672944854233,77.5116193109341,70.4720445197964,62.0188043236344
