height,width,timesteps,years,wind_prob,wind_directions,wind_directions,wind_directions,wind_directions,buffer,numbspecies,initial01,initial02,initial03,initial04,agedead01,agedead02,agedead03,agedead04,maxrgr01,maxrgr02,maxrgr03,maxrgr04,overwinter01,overwinter02,overwinter03,overwinter04
10,10,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
10,10,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
10,10,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
20,20,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
20,20,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
20,20,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
30,30,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
30,30,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
30,30,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
40,40,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
40,40,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
40,40,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
50,50,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
50,50,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
50,50,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
10,10,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
10,10,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
10,10,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
20,20,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
20,20,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
20,20,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
30,30,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
30,30,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
30,30,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
40,40,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
40,40,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
40,40,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
50,50,20,10,0.25,U,D,L,R,3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
50,50,20,10,0.25,U,D,L,R,3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
50,50,20,10,0.25,U,D,L,R,3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
