height,width,area,shape,HtoW,initial_perc_SAV_cover,initial_perc_SAV_cells_occupied,SAV_biomass_per_cell,initial_perc_FP_cover,initial_perc_FP_cells_occupied,FP_biomass_per_cell,N_to_P,days,years,TOTALN,TOTALP,lossSAV,lossFP,neigh_thresh_SAV,focal_thresh_SAV,amnt_colonize_SAV,neigh_thresh_FP,focal_thresh_FP,amnt_colonize_FP,numbFPspecies,initialSAVcells,initial01cells,initial02cells,initial03cells,initial04cells,initialSAVtotmass,initial01totmass,initial02totmass,initial03totmass,initial04totmass,maxSAVrgr,maxrgr01,maxrgr02,maxrgr03,maxrgr04,overwinterSAV,overwinter01,overwinter02,overwinter03,overwinter04,halfsatBSAV,halfsatB01,halfsatB02,halfsatB03,halfsatB04,halfsatNSAV,halfsatN01,halfsatN02,halfsatN03,halfsatN04,halfsatPSAV,halfsatP01,halfsatP02,halfsatP03,halfsatP04,uptakeNSAV,uptakeN01,uptakeN02,uptakeN03,uptakeN04,uptakePSAV,uptakeP01,uptakeP02,uptakeP03,uptakeP04,lightlimitationSAV,lightlimitation01,lightlimitation02,lightlimitation03,lightlimitation04,shadingbyFP,lightattenuation,wind_shape1,wind_shape2,wind_avg,wind_stdev,prob_up,prob_down,prob_left,prob_right,wind_direction,full_thresh_wind
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,50,0,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,50,0,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,50,50,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,50,50,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,50,100,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,50,100,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,100,0,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,100,0,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,100,50,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,100,50,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,100,100,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,100,100,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,200,0,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,200,0,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,200,50,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,200,50,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,200,100,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,1,200,100,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,5,50,0,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,5,50,0,5,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
20,20,400,square,1,25,50,50,25,50,50,4,125,7,0.1,0.025,0.05,0.05,50,0,5,50,50,1,4,200,200,200,200,200,10000,10000,10000,10000,10000,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0,42,42,42,42,0,0.2,0.2,0.2,0.2,0,0.05,0.05,0.05,0.05,0.075,0.005,0.005,0.005,0.005,0.01875,0.00125,0.00125,0.00125,0.00125,0.02,0.01,0.01,0.01,0.01,0.04,0,0.1,0.4,0.2,0.327,0.25,0.25,0.25,0.25,all,800
