"","height","width","timesteps","years","wind_prob","wind_directions","wind_directions.1","wind_directions.2","wind_directions.3","buffer","numbspecies","initial01","initial02","initial03","initial04","agedead01","agedead02","agedead03","agedead04","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinter01","overwinter02","overwinter03","overwinter04","propyears_avgFP_abovethreshold","propyears_propdaysFP_abovehalf"
"1",10,10,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"2",10,10,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0,NA,NA
"3",10,10,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0,0,0.5
"4",20,20,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"5",20,20,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0,NA,NA
"6",20,20,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0,NA,NA
"7",30,30,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"8",30,30,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0,NA,NA
"9",30,30,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0,NA,NA
"10",40,40,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"11",40,40,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0,NA,NA
"12",40,40,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0,NA,NA
"13",50,50,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"14",50,50,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0,NA,NA
"15",50,50,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0,NA,NA
"16",10,10,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"17",10,10,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,NA,NA
"18",10,10,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,NA,NA
"19",20,20,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"20",20,20,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,NA,NA
"21",20,20,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,NA,NA
"22",30,30,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"23",30,30,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,NA,NA
"24",30,30,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,NA,NA
"25",40,40,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"26",40,40,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,NA,NA
"27",40,40,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,NA,NA
"28",50,50,20,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,NA,NA
"29",50,50,20,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,NA,NA
"30",50,50,20,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,NA,NA
