"height","width","days","years","TOTALN","TOTALP","lossSAV","lossFP","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","numbFPspecies","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","halfsatBSAV","halfsatB01","halfsatB02","halfsatB03","halfsatB04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","halfsatPSAV","halfsatP01","halfsatP02","halfsatP03","halfsatP04","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","lightlimitation","shadingbyFP","lightattenuation","wind_avg","wind_std","prob_up","prob_down","prob_left","prob_right","wind_direction","lightlimitation_FP","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV"
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,50,0,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.12855989944179e-12,4.90691476050563e-11,NA,1,1,98.6094524142287,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,50,0,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.73328707759361e-12,5.2719664736333e-11,NA,1,1,98.6094524140888,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,50,50,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,3.45671065912509e-09,2.08668998762479e-08,NA,1,1,98.6094522276463,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,50,50,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.92359036082533e-09,5.38684561587854e-08,NA,1,1,98.6094519029505,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,50,100,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,3.45856365211283e-09,2.08780857182138e-08,NA,1,1,98.6094522274215,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,50,100,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,1,1,84.1686724035117,97.6185797641817,23,1,1,95.3852799251572,100,10
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,100,0,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.12181637117297e-12,4.90284393875989e-11,NA,1,1,98.6094524142699,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,100,0,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.67688580260063e-12,5.23791908366531e-11,NA,1,1,98.6094524140987,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,100,50,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,1.58708692108433e-09,9.5806641466584e-09,NA,1,1,98.609452324284,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,100,50,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.9696326525502e-09,5.41463966595104e-08,NA,1,1,98.6094519014087,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,100,100,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,1.67573067599344e-09,1.01157741228035e-08,NA,1,1,98.6094523195563,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,100,100,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0.142857142857143,0.142857142857143,1.6755628021356e-08,1.01147607293904e-07,NA,1,1,98.6094513505715,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,200,0,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.05712423697934e-12,4.86379165987036e-11,NA,1,1,98.6094524141986,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,200,0,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.44369777648946e-12,5.09715198820763e-11,NA,1,1,98.6094524141835,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,200,50,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.95853604159659e-12,5.40794104722666e-11,NA,1,1,98.6094524140993,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,200,50,5,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,8.91301006241182e-09,5.38045867610108e-08,NA,1,1,98.60945191161,100,4
20,20,125,7,0.1,0.025,0.05,0.05,50,0,1,200,100,1,1,200,200,0,0,0,10000,10000,0,0,0,0.5,0.5,0,0,0,0.1,0.1,0,0,0,0,42,0,0,0,0,0.2,0,0,0,0,0.05,0,0,0,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.02,0.04,0,0.1,0.01,0.25,0.25,0.25,0.25,"all",0.01,0,0,9.37456421580928e-12,5.65908206286592e-11,NA,1,1,98.6094524140088,100,4
