"height","width","timesteps","years","TOTALN","TOTALP","loss","thresholdtomove","amounttomove","numbspecies","initial01cells","initial02cells","initial03cells","initial04cells","initial01totmass","initial02totmass","initial03totmass","initial04totmass","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinter01","overwinter02","overwinter03","overwinter04","halfsatB01","halfsatB02","halfsatB03","halfsatB04","halfsatN01","halfsatN02","halfsatN03","halfsatN04","halfsatP01","halfsatP02","halfsatP03","halfsatP04","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakeP01","uptakeP02","uptakeP03","uptakeP04","propyears_avgFP_abovethreshold","propyears_propdaysFP_abovehalf"
20,20,100,10,2,0.5,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
40,40,100,10,2,0.5,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
100,100,100,10,2,0.5,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
200,200,100,10,2,0.5,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
20,20,100,10,2,0.5,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
40,40,100,10,2,0.5,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
100,100,100,10,2,0.5,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
200,200,100,10,2,0.5,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
20,20,100,10,2,0.5,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
40,40,100,10,2,0.5,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
100,100,100,10,2,0.5,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
200,200,100,10,2,0.5,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
20,20,100,10,2,0.5,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
40,40,100,10,2,0.5,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
100,100,100,10,2,0.5,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
200,200,100,10,2,0.5,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
20,20,100,10,10,2,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.1
40,40,100,10,10,2,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
100,100,100,10,10,2,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
200,200,100,10,10,2,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
20,20,100,10,10,2,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
40,40,100,10,10,2,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
100,100,100,10,10,2,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
200,200,100,10,10,2,0.05,25,0.25,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
20,20,100,10,10,2,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
40,40,100,10,10,2,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
100,100,100,10,10,2,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
200,200,100,10,10,2,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0
20,20,100,10,10,2,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
40,40,100,10,10,2,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
100,100,100,10,10,2,0.05,25,0,4,2,2,2,2,2,2,2,2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,42,42,42,42,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0
