"height","width","timesteps","years","TOTALN","TOTALP","loss","thresholdtomove","maxthresholdtomove","maxamounttomove","numbspecies","initial01cells","initial02cells","initial03cells","initial04cells","initial01totmass","initial02totmass","initial03totmass","initial04totmass","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinter01","overwinter02","overwinter03","overwinter04","halfsatB01","halfsatB02","halfsatB03","halfsatB04","halfsatN01","halfsatN02","halfsatN03","halfsatN04","halfsatP01","halfsatP02","halfsatP03","halfsatP04","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakeP01","uptakeP02","uptakeP03","uptakeP04","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover"
20,20,150,10,1,0.25,0.05,25,100,5,1,20,0,0,0,400,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0,1,69.9322529969169
20,20,150,10,1,0.25,0.05,25,100,5,1,20,0,0,0,4000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0,0.9,69.9308679007252
20,20,150,10,2,0.5,0.05,25,100,5,1,20,0,0,0,400,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,74.4293763289863
20,20,150,10,2,0.5,0.05,25,100,5,1,20,0,0,0,4000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,74.4304544791569
20,20,150,10,3,0.75,0.05,25,100,5,1,20,0,0,0,400,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,75.5942751152794
20,20,150,10,3,0.75,0.05,25,100,5,1,20,0,0,0,4000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,75.5925245465377
20,20,150,10,5,1.25,0.05,25,100,5,1,20,0,0,0,400,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,76.4280189037539
20,20,150,10,5,1.25,0.05,25,100,5,1,20,0,0,0,4000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,76.4302689133917
20,20,150,10,7.5,1.875,0.05,25,100,5,1,20,0,0,0,400,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,76.8200826035435
20,20,150,10,7.5,1.875,0.05,25,100,5,1,20,0,0,0,4000,0,0,0,0.3,0,0,0,0.1,0,0,0,42,0,0,0,0.04,0,0,0,0.05,0,0,0,0.005,0,0,0,0.00125,0,0,0,0.9,1,76.8166685865025
