"height","width","timesteps","years","wind_prob","wind_directions","wind_directions.1","wind_directions.2","wind_directions.3","buffer","numbspecies","initial01","initial02","initial03","initial04","agedead01","agedead02","agedead03","agedead04","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinter01","overwinter02","overwinter03","overwinter04","propyears_avgFP_abovethreshold","propyears_propdaysFP_abovehalf"
20,20,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.9
20,20,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.9,1
20,20,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.8,1
50,50,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.9
50,50,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.9
50,50,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.8,0.9
100,100,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.8
100,100,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.8
100,100,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.8
150,150,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.5,0.6
150,150,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.6,0.7
150,150,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.7
200,200,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.4,0.6
200,200,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.2,0.4
200,200,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.3,0.5
250,250,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.2,0.4
250,250,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.3,0.5
250,250,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.3,0.4
300,300,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0,0.1
300,300,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0,0
300,300,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.1,0.3
20,20,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,1
20,20,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.8,0.9
20,20,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.9,1
50,50,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.9,0.9
50,50,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.8,0.9
50,50,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.9,0.9
100,100,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,0.7
100,100,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.8
100,100,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.7,0.8
150,150,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,0.7
150,150,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.4,0.6
150,150,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.7,0.7
200,200,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.3,0.5
200,200,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.3,0.5
200,200,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.5,0.6
250,250,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.2,0.3
250,250,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.4,0.5
250,250,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.2,0.4
300,300,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0,0.2
300,300,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0,0.2
300,300,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.1,0.3
20,20,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.9,1
20,20,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.9
20,20,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.9,0.9
50,50,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.9
50,50,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.9,0.9
50,50,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0,0.9
100,100,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.8
100,100,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.8
100,100,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.8
150,150,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.3,0.5
150,150,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.6,0.7
150,150,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.6,0.7
200,200,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.5,0.6
200,200,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0,0.3
200,200,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.5,0.6
250,250,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0,0.3
250,250,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.2,0.4
250,250,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0,0.3
300,300,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.2,0.4
300,300,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0,0.3
300,300,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0,0
20,20,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.9,1
20,20,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.8,1
20,20,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.9,0.9
50,50,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.9
50,50,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.8,0.9
50,50,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.9,0.9
100,100,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.8
100,100,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.5,0.7
100,100,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.7,0.8
150,150,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,0.7
150,150,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.6,0.7
150,150,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.6,0.7
200,200,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.5,0.6
200,200,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.4,0.5
200,200,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.5,0.6
250,250,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0,0.3
250,250,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.1,0.3
