"height1","width1","height2","width2","shape","area","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_up","prob_down","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
30,30,10,10,"rectangle",900,1,1,125,7,0.1,0.025,4,15,15,100,15,15,100,135,135,0,0,0,13500,13500,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.66267877955659e-12,2.81468890061004e-11,NA,1,1,99.9180184218403,100,1,88.0603738236401,99.9131599997881,99.9180141634116,2.57619484020902,0.000497137036147669,9.62816843930607e-08
31,32,10,10,"hook",892,NA,1,125,7,0.1,0.025,4,15,15,99.85074627,15,15,99.85074627,134,134,0,0,0,13380,13380,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66328392652365e-12,2.81505420573439e-11,NA,1,1,99.9180184218707,100,1,88.1081766708846,99.9133315573767,99.9180143101246,2.5746572384168,0.000497201562215829,9.62941803395491e-08
33,33,10,10,"eight",889,NA,1,125,7,0.1,0.025,4,15,15,100.2631579,15,15,100.2631579,133,133,0,0,0,13335,13335,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66243496172369e-12,2.81454171668838e-11,NA,1,1,98.7940812067908,98.8751406074241,1,87.4246085406785,98.7895331036021,98.7940772106443,2.57566873287669,0.000497111078414458,9.62766496935507e-08
33,33,10,10,"tee",889,NA,1,125,7,0.1,0.025,4,15,15,100.2631579,15,15,100.2631579,133,133,0,0,0,13335,13335,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66252661161223e-12,2.81459704237907e-11,NA,1,1,99.9180184218927,100,1,88.4705941677425,99.9134584426002,99.9180144161794,2.57183309219578,0.000497120816807068,9.6278542232717e-08
35,37,10,10,"cross",895,NA,1,125,7,0.1,0.025,4,15,15,100.1865672,15,15,100.1865672,134,134,0,0,0,13425,13425,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66238903994309e-12,2.81451399538646e-11,NA,1,1,98.8016159813232,98.8826815642458,1,86.441071626527,98.7965274638173,98.8016115318657,2.57246467362124,0.000497107399241109,9.62757014558429e-08
30,30,10,10,"rectangle",900,1,1,125,7,10,2.5,4,15,15,100,15,15,100,135,135,0,0,0,13500,13500,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8931230383574,100,1,0,0,4.66744485159949e-07,1.37612484801531e-06,NA,25.2140703302055,0.307364339053695,0.000767835251413637,90.1287219336555,99.6037163808974,99.8922742002853
31,32,10,10,"hook",892,NA,1,125,7,10,2.5,4,15,15,99.85074627,15,15,99.85074627,134,134,0,0,0,13380,13380,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,95.1339077106189,99.9968887477482,1,0,0,2.92728104523364,4.45992868046419,NA,29.3512840355338,9.21318674176998,6.85131183656082,87.234076939745,93.4488801261675,94.42938868753
33,33,10,10,"eight",889,NA,1,125,7,10,2.5,4,15,15,100.2631579,15,15,100.2631579,133,133,0,0,0,13335,13335,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.48829531905849e-06,8.32855860016001e-06,NA,0.857142857142857,0.857142857142857,98.794080786862,98.8751406074241,1,61.0529570308977,98.3597268310338,98.7934115406068,50.7604132985438,0.988436937245392,0.00243767768029795
33,33,10,10,"tee",889,NA,1,125,7,10,2.5,4,15,15,100.2631579,15,15,100.2631579,133,133,0,0,0,13335,13335,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,96.597271513986,100,1,0,0,1.13231749993469,2.10522739477043,NA,30.5514054702465,9.98375690045263,7.48694243344787,85.568541779171,95.0616908560166,94.1255536416987
35,37,10,10,"cross",895,NA,1,125,7,10,2.5,4,15,15,100.1865672,15,15,100.1865672,134,134,0,0,0,13425,13425,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,94.8414337165284,98.8649563920877,1,0,0,3.00336293471544,4.2490303171755,NA,29.396249817715,22.8846639277004,10.5921934752769,79.3167576837671,89.0924326737128,90.8451594178738
