"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
72001,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,0.1,0.025,4,1,1,99.99212598,1,1,99.99212598,508,508,0,0,0,50796,50796,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.59254868793188e-12,9.61363483853213e-12,NA,0.75,0.75,99.7232808443926,99.8051027639972,1,57.5202841593233,99.3789828640214,99.7231341319343,0.212902246769464,4.24577895402114e-05,8.22290037381092e-09
72002,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,0.1,0.025,4,1,1,99.99212598,1,1,99.99212598,508,508,0,0,0,50796,50796,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.57373506849243e-12,9.50006388861228e-12,NA,0.75,0.75,99.7232808433025,99.8051027639972,1,56.9319854219309,99.3491443223228,99.7231325922607,0.210676885965881,4.19562197154155e-05,8.12575890535505e-09
72003,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,0.1,0.025,4,1,1,99.99212598,1,1,99.99212598,508,508,0,0,0,50796,50796,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.57157053770841e-12,9.48699740674459e-12,NA,0.75,0.75,99.7232808121083,99.8051027639972,1,57.2950663413987,99.2975663683734,99.723095579987,0.210447083625757,4.18985062436699e-05,8.11458265611403e-09
72004,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,0.1,0.025,4,1,1,99.99212598,1,1,99.99212598,508,508,0,0,0,50796,50796,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.58724507391655e-12,9.58161885757391e-12,NA,0.75,0.75,99.7232807290072,99.8051027639972,1,57.242597844723,99.2359259094102,99.722955257079,0.212245233385504,4.23164004988703e-05,8.19551591160320e-09
72005,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,0.1,0.025,4,1,1,99.9015748,1,1,99.9015748,508,508,0,0,0,50750,50750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.57801378136663e-12,9.52589291567014e-12,NA,0.75,0.75,99.7408235102999,99.8226600985222,1,56.6594482641847,99.1321824435467,99.7401726650205,0.211130718086751,4.20702846125141e-05,8.14785143525697e-09
72006,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,0.1,0.025,4,1,1,99.9015748,1,1,99.9015748,508,508,0,0,0,50750,50750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.57190791034757e-12,9.48903400216046e-12,NA,0.75,0.75,99.7408221704968,99.8226600985222,1,56.1187862635687,98.7425365673178,99.736376311716,0.210497089458324,4.19075089134925e-05,8.11632463218271e-09
72007,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,0.1,0.025,4,1,1,99.9015748,1,1,99.9015748,508,508,0,0,0,50750,50750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.5710369095929e-12,9.48377608868944e-12,NA,0.75,0.75,99.7408084430078,99.8226600985222,1,57.1238776526541,98.9423296742453,99.7131381060198,0.210382406576398,4.18842807339869e-05,8.11182734272829e-09
72008,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,0.1,0.025,4,1,1,99.9015748,1,1,99.9015748,508,508,0,0,0,50750,50750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,1.63218545562525e-12,9.85290752995522e-12,NA,0.75,0.75,99.7408237052695,99.8226600985222,1,57.3218790745985,99.2979763928547,99.7405723301802,0.217474249296172,4.35145215670462e-05,8.42755922953184e-09
72009,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,0.1,0.025,4,1,1,100,1,1,100,506,506,0,0,0,50600,50600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.57481898502391e-12,9.50660709687218e-12,NA,0.75,0.75,99.9180181905616,100,1,56.3641624167084,99.3172363753598,99.9177374298791,0.210731091403876,4.19851110177198e-05,8.13135555527e-09
72010,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,0.1,0.025,4,1,1,100,1,1,100,506,506,0,0,0,50600,50600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.57235446032192e-12,9.49172966127791e-12,NA,0.75,0.75,99.9180067137539,100,1,56.0857935047966,98.75406682275,99.8908377714811,0.210521541966764,4.19194159334404e-05,8.11863032990406e-09
