"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
73001,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,0.1,0.025,4,30,30,99.99868758,5,5,99.99212598,15239,2540,0,0,0,1523880,253980,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,6.21661378350627e-12,3.75274271359491e-11,NA,1,1,99.7232809643908,99.8051027639972,1,91.8378432984409,99.7203444875653,99.7232783834295,0.858776145284571,0.000165736650242431,3.20986078428532e-08
73002,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,0.1,0.025,4,30,30,99.99868758,5,5,99.99212598,15239,2540,0,0,0,1523880,253980,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,6.21578961372988e-12,3.75224519239915e-11,NA,1,1,99.7232809642785,99.8051027639972,1,91.7476850246149,99.7201887883082,99.7232782478927,0.858737131875329,0.000165714705195986,3.20943523592891e-08
73003,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,0.1,0.025,4,30,30,99.99868758,5,5,99.99212598,15239,2540,0,0,0,1523880,253980,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,6.21635720398276e-12,3.75258782590666e-11,NA,1,1,99.7232809644923,99.8051027639972,1,92.0870124338344,99.720491184933,99.7232785059077,0.858761151454779,0.000165729822524832,3.2097283032555e-08
73004,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,0.1,0.025,4,30,30,99.99868758,5,5,99.99212598,15239,2540,0,0,0,1523880,253980,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,6.21617754317748e-12,3.75247937123967e-11,NA,1,1,99.723280964286,99.8051027639972,1,91.7264911040697,99.720197361143,99.7232782569072,0.858759280768937,0.000165725061392277,3.20963553786534e-08
73005,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,0.1,0.025,4,30,30,100,5,5,99.98029945,15225,2538,0,0,0,1522500,253750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,6.21667889049574e-12,3.75278201630678e-11,NA,1,1,99.7408239051213,99.8226600985222,1,91.8009897588696,99.7378660330867,99.7408213063394,0.85878505835882,0.000165738388689365,3.20989440136258e-08
73006,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,0.1,0.025,4,30,30,100,5,5,99.98029945,15225,2538,0,0,0,1522500,253750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,6.21559861610848e-12,3.75212989411024e-11,NA,1,1,99.7408239049536,99.8226600985222,1,91.7371315977717,99.7376343557767,99.7408211040239,0.858738573126711,0.000165709640754384,3.20933661702173e-08
73007,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,0.1,0.025,4,30,30,100,5,5,99.98029945,15225,2538,0,0,0,1522500,253750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,6.21622026390023e-12,3.75250516017983e-11,NA,1,1,99.7408239052442,99.8226600985222,1,92.0920741094004,99.738043861431,99.7408214546372,0.858695835166507,0.00016572616769204,3.20965759618406e-08
73008,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,0.1,0.025,4,30,30,100,5,5,99.98029945,15225,2538,0,0,0,1522500,253750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,6.21608221645366e-12,3.75242182597778e-11,NA,1,1,99.740823904993,99.8226600985222,1,91.6986720761083,99.7376864260921,99.7408211514821,0.858758157856788,0.000165722511388976,3.20958631723138e-08
73009,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,0.1,0.025,4,30,30,100,5,5,100,15180,2530,0,0,0,1518000,253000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,6.2166509700088e-12,3.75276516172845e-11,NA,1,1,99.9180184205896,100,1,92.1401227076857,99.9151164558355,99.9180158686774,0.858755671154915,0.000165737643939927,3.20987998501849e-08
73010,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,0.1,0.025,4,30,30,100,5,5,100,15180,2530,0,0,0,1518000,253000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,6.2157047175305e-12,3.75219394366395e-11,NA,1,1,99.9180184204378,100,1,91.9269613700204,99.9149047946141,99.9180156854415,0.858732863205539,0.000165712436518532,3.2093914009422e-08
