"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
75501,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,1,0.25,4,5,5,99.99212598,30,30,99.99868758,2540,15239,0,0,0,253980,1523880,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,3.82616499657403e-10,2.32798692878673e-09,NA,0.75,1,99.7232809310767,99.8051027639972,1,62.2894483023435,99.6691829118627,99.7232389944902,19.4115447224474,0.00681008199428024,1.61419855766704e-06
75502,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,1,0.25,4,5,5,99.99212598,30,30,99.99868758,2540,15239,0,0,0,253980,1523880,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,2.45456262958562e-10,1.49345094178653e-09,NA,1,1,99.7232809451423,99.8051027639972,1,70.6812625508808,99.6923893706758,99.7232556647521,11.9117762060606,0.00436879584624291,1.03554119027114e-06
75503,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,1,0.25,4,5,5,99.99212598,30,30,99.99868758,2540,15239,0,0,0,253980,1523880,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.87607343717055e-10,1.74991443755055e-09,NA,0.75,1,99.7232809399494,99.8051027639972,1,66.7942666867311,99.6845056748483,99.7232494912768,15.0205499139049,0.00511905552011433,1.21336994315528e-06
75504,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,1,0.25,4,5,5,99.99212598,30,30,99.99868758,2540,15239,0,0,0,253980,1523880,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,2.46841283476147e-10,1.5018779428801e-09,NA,0.75,1,99.7232809436416,99.8051027639972,1,69.0791342897435,99.690404387932,99.7232538567279,13.1334019456314,0.00439345078480474,1.04138437307808e-06
75505,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,1,0.25,4,5,5,99.98029945,30,30,100,2538,15225,0,0,0,253750,1522500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,2.97448667749398e-10,1.80979286341717e-09,NA,0.75,1,99.7408238800165,99.8226600985222,1,66.4686111230282,99.7011499447408,99.7407916354575,15.0561312845631,0.00529419465032642,1.25488893127757e-06
75506,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,1,0.25,4,5,5,99.98029945,30,30,100,2538,15225,0,0,0,253750,1522500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,2.5509783475183e-10,1.55211399768656e-09,NA,0.75,1,99.7408238854482,99.8226600985222,1,69.8519876949939,99.7112903897692,99.7407980963683,12.4202134048455,0.00454040805538216,1.07621745840792e-06
75507,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,1,0.25,4,5,5,99.98029945,30,30,100,2538,15225,0,0,0,253750,1522500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,3.4115523141482e-10,2.07572051945335e-09,NA,0.75,1,99.7408238759692,99.8226600985222,1,64.5638019185356,99.6935370218643,99.7407868482984,17.6646410247799,0.00607212915504546,1.4392800192136e-06
75508,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,1,0.25,4,5,5,99.98029945,30,30,100,2538,15225,0,0,0,253750,1522500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,2.47554107990139e-10,1.50621504322098e-09,NA,1,1,99.7408238868636,99.8226600985222,1,70.9080658501006,99.7136173146709,99.7407997877575,11.8795207686322,0.00440613913517158,1.04439166715858e-06
75509,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,1,0.25,4,5,5,100,30,30,100,2530,15180,0,0,0,253000,1518000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,2.87513045394279e-10,1.74934069004577e-09,NA,0.75,1,99.9180183946101,100,1,66.8626519893333,99.8742486911238,99.9179851208387,14.7861433367145,0.0051173530167502,1.21297211040326e-06
75510,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,1,0.25,4,5,5,100,30,30,100,2530,15180,0,0,0,253000,1518000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,2.83139955793192e-10,1.7227331197009e-09,NA,0.75,1,99.9180183965803,100,1,67.1744833987855,99.8806753616477,99.9179874880496,14.8832195403709,0.0050395199853063,1.19452273631566e-06
