"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
76501,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,2,0.5,4,1,1,99.99212598,1,1,99.99212598,508,508,0,0,0,50796,50796,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.60973087796159e-10,2.73031459093579e-09,NA,0.75,0.75,99.7232807197678,99.8051027639972,1,54.4926162204971,99.1601867189894,99.7229708694842,4.29190329145696,0.00402663580144532,1.36296238777825e-06
76502,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,2,0.5,4,1,1,99.99212598,1,1,99.99212598,508,508,0,0,0,50796,50796,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.36837069556196e-10,2.58735847264823e-09,NA,0.75,0.75,99.7232807821325,99.8051027639972,1,54.6759033662648,99.2036807900573,99.7230580789713,4.00903090075118,0.0038158259158348,1.2915999420981e-06
76503,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,2,0.5,4,1,1,99.99212598,1,1,99.99212598,508,508,0,0,0,50796,50796,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,5.11606825218245e-10,3.03021503290274e-09,NA,0.75,0.75,99.7232806452209,99.8051027639972,1,53.6826385728442,98.9202068397798,99.7228895086044,4.72514226966418,0.00446837284025548,1.51267061611528e-06
76504,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,2,0.5,4,1,1,99.99212598,1,1,99.99212598,508,508,0,0,0,50796,50796,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,4.08033359734444e-10,2.41675591621103e-09,NA,0.75,0.75,99.723280521938,99.8051027639972,1,54.8878266371888,99.151936110054,99.7224700593845,3.74111714547222,0.00356423163446582,1.20643289807235e-06
76505,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,2,0.5,4,1,1,99.9015748,1,1,99.9015748,508,508,0,0,0,50750,50750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.44070747295657e-10,2.63020309897252e-09,NA,0.75,0.75,99.7408232516165,99.8226600985222,1,53.2181678724031,98.6698777456666,99.7398473509987,4.05702981400451,0.00387805413905044,1.31298246633908e-06
76506,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,2,0.5,4,1,1,99.9015748,1,1,99.9015748,508,508,0,0,0,50750,50750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.051022257244e-10,2.39939499088293e-09,NA,0.75,0.75,99.7408236503509,99.8226600985222,1,54.4696537667991,99.0752270737333,99.7405082634529,3.67545941455643,0.00353843341691585,1.19776853019599e-06
76507,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,2,0.5,4,1,1,99.9015748,1,1,99.9015748,508,508,0,0,0,50750,50750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,4.08391838908803e-10,2.41887916646263e-09,NA,0.75,0.75,99.7408234217514,99.8226600985222,1,54.634501528545,98.9373363165934,99.7400849605365,3.70735567958174,0.00356699685139059,1.2074925082103e-06
76508,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,2,0.5,4,1,1,99.9015748,1,1,99.9015748,508,508,0,0,0,50750,50750,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,3.79395202833189e-10,2.24713391134776e-09,NA,0.75,0.75,99.7408236923204,99.8226600985222,1,54.9330966913225,99.2150372490895,99.7405613545749,3.40524699625535,0.0033141439577019,1.12176078683553e-06
76509,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,2,0.5,4,1,1,100,1,1,100,506,506,0,0,0,50600,50600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.59386932372706e-10,2.72092004304321e-09,NA,0.75,0.75,99.9180100029847,100,1,52.7053654576086,98.5744782625798,99.9000003509997,4.15640194107345,0.00401077160482107,1.35824996264162e-06
76510,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,2,0.5,4,1,1,100,1,1,100,506,506,0,0,0,50600,50600,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,3.79505393300918e-10,2.24778656356442e-09,NA,0.75,0.75,99.9180181399847,100,1,55.3982894193394,99.2955526867509,99.9176609395697,3.42516029707615,0.00331507000834031,1.12208594944913e-06
