"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
77001,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,2,0.5,4,5,5,99.99212598,30,30,99.99868758,2540,15239,0,0,0,253980,1523880,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,3.37618311086828e-09,1.99969200902263e-08,NA,0.75,0.75,99.7232808636797,99.8051027639972,1,50.5267141209297,99.516323726252,99.7231620892494,33.8782261639185,0.0294921301529527,9.98239683411727e-06
77002,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,2,0.5,4,5,5,99.99212598,30,30,99.99868758,2540,15239,0,0,0,253980,1523880,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,2.39371294500273e-09,1.41778111246738e-08,NA,0.75,0.75,99.7232809010813,99.8051027639972,1,56.9938091139703,99.6144853636481,99.7232056832051,26.7696424857335,0.0209155439452504,7.07751884250054e-06
77003,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,2,0.5,4,5,5,99.99212598,30,30,99.99868758,2540,15239,0,0,0,253980,1523880,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.81454536654883e-09,1.66703750741494e-08,NA,0.75,0.75,99.7232808821991,99.8051027639972,1,53.7033512635632,99.563404529117,99.7231835607089,31.5404927931636,0.024589834663791,8.32179788752994e-06
77004,300,300,99,99,"cross",50796,"larger3",NA,1,125,4,2,0.5,4,5,5,99.99212598,30,30,99.99868758,2540,15239,0,0,0,253980,1523880,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,2.54776243392177e-09,1.5090236553598e-08,NA,0.75,0.75,99.7232808893842,99.8051027639972,1,54.8658021919823,99.5813188790624,99.7231918126741,29.4020035772307,0.0222595717558784,7.53299804664439e-06
77005,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,2,0.5,4,5,5,99.98029945,30,30,100,2538,15225,0,0,0,253750,1522500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.99499502251872e-09,2.95850411761173e-08,NA,0.75,0.75,99.7408237493456,99.8226600985222,1,44.0447449364216,99.3754181503168,99.7406411191664,41.4602730373146,0.0436189529498127,1.47687490052386e-05
77006,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,2,0.5,4,5,5,99.98029945,30,30,100,2538,15225,0,0,0,253750,1522500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.85795295253514e-09,1.10045384063388e-08,NA,0.75,0.75,99.7408238562553,99.8226600985222,1,61.4414128762263,99.6589346689517,99.7407652011164,21.4548639062961,0.0162360170114076,5.49343167049592e-06
77007,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,2,0.5,4,5,5,99.98029945,30,30,100,2538,15225,0,0,0,253750,1522500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.26828112985874e-09,1.34348863774963e-08,NA,0.75,0.75,99.7408238424932,99.8226600985222,1,57.6440872402112,99.6302822569426,99.7407492345526,26.6541938674317,0.0198200291663709,6.70665333034385e-06
77008,275,250,100,90,"eight",50750,"larger3",NA,1,125,4,2,0.5,4,5,5,99.98029945,30,30,100,2538,15225,0,0,0,253750,1522500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,2.22821078008238e-09,1.31975522174333e-08,NA,0.75,0.75,99.7408238453676,99.8226600985222,1,58.1714580898837,99.6367050555605,99.7407526398122,25.0612860739568,0.0194699432538957,6.58817684998697e-06
77009,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,2,0.5,4,5,5,100,30,30,100,2530,15180,0,0,0,253000,1518000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,3.24791513527936e-09,1.92371969427072e-08,NA,0.75,0.75,99.9180183230391,100,1,51.0546261094369,99.7198408623061,99.9179031926279,34.0136867543367,0.0283725203832237,9.60314579512427e-06
77010,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,2,0.5,4,5,5,100,30,30,100,2530,15180,0,0,0,253000,1518000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.96305093555652e-09,1.16270271456142e-08,NA,0.75,0.75,99.918018368339,100,1,60.8029048380123,99.8288443564287,99.9179558439765,22.4197857008389,0.0171540450719964,5.80417598394423e-06
77011,348,325,250,250,"hook",50600,"larger3",NA,1,125,4,2,0.5,4,5,5,100,30,30,100,2530,15180,0,0,0,253000,1518000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,3.41004249024487e-09,2.01974670624392e-08,NA,0.75,0.75,99.9180183210177,100,1,50.5026470618084,99.7160677895873,99.9179010012552,34.8633148322972,0.029789315952763,1.00825096735028e-05
