"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
1,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,3.15983074392517e-07,1.92256335992719e-06,NA,0.75,0.75,99.9180159994211,100,1,52.0845173899793,98.0324268975416,99.9145706333169,99.9180159994211,11.491712374507,1.2567181771602,0.00133312620292382,3.15983074392517e-07
2,20,20,5,5,"rectangle",400,"small",1,1,125,4,1,0.25,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.56611130357369e-06,9.52882731105231e-06,NA,0.75,0.75,99.9179952193627,100,1,41.5171913322958,91.199925956311,99.8650045882115,99.9179952193627,9.23838912295429,5.18745569800717,0.00652108420225091,1.56611130357369e-06
3,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,2,0.5,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,0.000336244593756629,0.00199159600157984,NA,0.75,0.75,99.9177503146319,100,1,46.8022334473077,93.2786329434363,99.6295875225589,99.9177503146319,21.1513137025236,6.56273147144197,0.322442850934968,0.000336244593756629
4,20,20,5,5,"rectangle",400,"small",1,1,125,4,2,0.5,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,2.98492619306445e-07,1.76795305023545e-06,NA,0.75,0.75,99.9180174516061,100,1,46.5560456819865,98.4575929641306,99.9170834816998,99.9180174516061,16.527057009842,1.17702804353276,0.00088253303447192,2.98492619306445e-07
5,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,3,0.75,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,0.567705301275815,0.976495050906332,NA,0.75,0.75,99.3951357930357,99.973411984915,1,40.8505559783607,82.1284988263333,95.7997951766934,99.3951357930357,28.1027178866457,19.9371896186386,4.68967142644212,0.567705301275815
6,20,20,5,5,"rectangle",400,"small",1,1,125,4,3,0.75,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,0.000324908802702512,0.00184853377986951,NA,0.75,0.75,99.9174529431414,100,1,41.8171921171904,82.3516162261372,98.7456063840271,99.9174529431414,27.1135184417813,17.6509615792212,0.603726440294758,0.000324908802702512
7,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,4,1,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.67638312628595,2.24570197901351,NA,0.75,0.75,98.3386719684662,99.0321959575129,1,40.4796042837738,82.9039639180606,94.929126412448,98.3386719684662,33.5959120248252,20.1054678652771,6.5289410338982,1.67638312628595
8,20,20,5,5,"rectangle",400,"small",1,1,125,4,4,1,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,0.406462380498191,1.92265199334513,NA,0.75,0.5,99.6571004513895,100,1,37.0818056056675,70.3474185470056,88.5745502852426,99.6571004513895,33.8584379638212,30.2405712896106,12.7926578807033,0.406462380498191
9,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,5,1.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,13.5498929935342,16.7636284069182,NA,0.75,0.75,90.3655969522291,95.5216587342902,1,39.7819395188687,71.3192594108834,80.7386133408887,90.3655969522291,32.1334668193751,33.6906333923247,24.4010098985274,13.5498929935342
10,20,20,5,5,"rectangle",400,"small",1,1,125,4,5,1.25,4,1,1,100,1,1,100,4,4,0,0,0,400,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,0.748184311193383,2.41425647077814,NA,0.5,0.5,99.6009114558389,100,1,33.9316598237387,66.059133056295,88.214277894905,99.6009114558389,33.5241955963679,33.7534729242185,14.7159024860195,0.748184311193383
