"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
1,250,250,5,5,"rectangle",62500,"large",1,1,125,4,1,0.25,4,5,5,100,5,5,100,3125,3125,0,0,0,312500,312500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.18177808228391e-11,2.54435569907785e-10,NA,1,1,99.9180184149242,100,1,79.5051300973657,99.9071879064312,99.9180090905124,2.1458541710248,0.000744300610928267,1.76422609855238e-07
2,250,250,5,5,"rectangle",62500,"large",1,1,125,4,1,0.25,4,5,5,100,5,5,100,3125,3125,0,0,0,312500,312500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.95285027511649e-11,3.01350587625861e-10,NA,1,1,99.9180184140989,100,1,78.6722357536553,99.9058489157101,99.9180081116435,2.7487623930285,0.000881540169828591,2.08952927303849e-07
3,250,250,5,5,"rectangle",62500,"large",1,1,125,4,1,0.25,4,5,5,100,5,5,100,3125,3125,0,0,0,312500,312500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.1,0.286,0.423,0.25,0.25,0.25,0.25,"all",600,0,0,4.68320661573032e-11,2.84944423358418e-10,NA,1,1,99.9180184145776,100,1,79.1660874644922,99.9066778030263,99.9180086833513,2.63666208608831,0.000833547141376168,1.97577087369181e-07
4,250,250,5,5,"rectangle",62500,"large",1,1,125,4,1,0.25,4,5,5,100,15,15,100,3125,9375,0,0,0,312500,937500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,1.27241408227884e-10,7.74185994122578e-10,NA,1,1,99.9180184092025,100,1,74.949255142259,99.8996782886989,99.9180023748163,6.61466212725011,0.002264726353951,5.36811396496168e-07
5,250,250,5,5,"rectangle",62500,"large",1,1,125,4,1,0.25,4,5,5,100,15,15,100,3125,9375,0,0,0,312500,937500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,1.54804748719012e-10,9.4189202989078e-10,NA,1,1,99.9180184072843,100,1,73.6285100321038,99.8969572115148,99.9180001209803,8.52871266690608,0.00275531728943254,6.5309677490215e-07
6,250,250,5,5,"rectangle",62500,"large",1,1,125,4,1,0.25,4,5,5,100,15,15,100,3125,9375,0,0,0,312500,937500,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.1,0.286,0.423,0.25,0.25,0.25,0.25,"all",600,0,0,1.45887922149452e-10,8.8763860454503e-10,NA,1,1,99.9180184078882,100,1,74.0704029364998,99.8976954378774,99.9180008300316,7.91049678231601,0.0025966094665233,6.15478092549271e-07
7,250,250,5,5,"rectangle",62500,"large",1,1,125,4,1,0.25,4,5,5,100,30,30,100,3125,18750,0,0,0,312500,1875000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,2.46997900217203e-10,1.50283085977296e-09,NA,1,1,99.9180184022269,100,1,71.1090841527916,99.8900926647296,99.9179942221696,11.8259633705254,0.00439623624751434,1.04204511433379e-06
8,250,250,5,5,"rectangle",62500,"large",1,1,125,4,1,0.25,4,5,5,100,30,30,100,3125,18750,0,0,0,312500,1875000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,2.52751163111099e-10,1.5378359388191e-09,NA,0.75,1,99.9180184004629,100,1,69.7540261384896,99.8869971084021,99.9179921060333,12.8129616943236,0.00449863596195004,1.06631722144437e-06
9,250,250,5,5,"rectangle",62500,"large",1,1,125,4,1,0.25,4,5,5,100,30,30,100,3125,18750,0,0,0,312500,1875000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.1,0.286,0.423,0.25,0.25,0.25,0.25,"all",600,0,0,2.95247934521335e-10,1.79640275035818e-09,NA,0.75,1,99.9180183975273,100,1,68.243902619396,99.8822099319745,99.9179886576028,14.183468748673,0.00525502437110891,1.24560438547834e-06
10,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,1,0.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.21111662770222e-11,2.56220640606632e-10,NA,1,1,99.9180184144139,100,1,79.0300706362561,99.9063707732757,99.9180084753715,2.16245096494942,0.000749523503676626,1.77660356723072e-07
