"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
1,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",98.3249408507979,100,100,100,0.605210381189315,0.00013104764976191,2.3104193379216e-08,4.07256645065744e-12,0.000266660556480734,1e-08,1e-08,1e-08
2,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",95.9520406843648,100,100,100,0.457134606439902,0.000104896542436102,1.84925757259712e-08,3.25967850418911e-12,1.00000000232141e-08,1e-08,1e-08,1e-08
3,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",88.7166258182714,99.9864320833437,100,100,0.650500953107677,0.000203002104734138,3.58726921815068e-08,6.32326785118826e-12,1.00003459271929e-08,1e-08,1e-08,1e-08
4,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,30,30,100,100,3000,0,0,0,10000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",87.3373180202292,99.8719230292104,100,100,0.755026708439604,0.000251534541298409,4.46989332936046e-08,7.87908428761116e-12,1.0018050331027e-08,1e-08,1e-08,1e-08
5,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",74.0424802324253,100,100,100,1.58627049709243,0.00107407538881777,1.89798172079798e-07,3.34556651235156e-11,5.0478981050299e-05,1e-08,1e-08,1e-08
6,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0278480311376382,5.01037651915146e-06,8.83178605717194e-10,1.55677513889209e-13,1e-08,1e-08,1e-08,1e-08
7,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0971183462767707,1.73412444382169e-05,3.05674397176097e-09,5.38810948602193e-13,1e-08,1e-08,1e-08,1e-08
8,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,15,15,100,500,1500,0,0,0,50000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.157001974048868,2.83098430290003e-05,4.99019319844845e-09,8.79619214986891e-13,1e-08,1e-08,1e-08,1e-08
9,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,30,30,100,500,3000,0,0,0,50000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.317524731860433,5.78353229625411e-05,1.0194699185508e-08,1.79701525513989e-12,3.89039222260931e-08,1e-08,1e-08,1e-08
10,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,5,5,100,45,45,100,500,4500,0,0,0,50000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.298343809542364,5.46489569422336e-05,9.63306231176247e-09,1.69801576540737e-12,1e-08,1e-08,1e-08,1e-08
11,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,1,1,100,1500,100,0,0,0,150000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.00782099329594817,1.38247798934923e-06,2.43688910188848e-10,4.29549396220652e-14,9.97423458344476e-09,1e-08,1e-08,1e-08
12,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,5,5,100,1500,500,0,0,0,150000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0372009120557716,6.61553391875043e-06,1.16611872974349e-09,2.05551248109084e-13,1e-08,1e-08,1e-08,1e-08
13,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,15,15,100,1500,1500,0,0,0,150000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0749794983876134,1.33535930005822e-05,2.35383769637241e-09,4.14909960841041e-13,9.86070397537256e-09,1e-08,1e-08,1e-08
14,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,30,30,100,1500,3000,0,0,0,150000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.123372877358094,2.19824691766557e-05,3.8748538080506e-09,6.83018818520082e-13,1e-08,1e-08,1e-08,1e-08
15,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,15,15,100,45,45,100,1500,4500,0,0,0,150000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.191009621499237,3.42269180588837e-05,6.03319762780235e-09,1.06346915841779e-12,9.9621597451563e-09,1e-08,1e-08,1e-08
16,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,1,1,100,3000,100,0,0,0,300000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.00421815314244686,7.46977415582139e-07,1.3166943166057e-10,2.32093142128494e-14,1e-08,1e-08,1e-08,1e-08
17,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,5,5,100,3000,500,0,0,0,300000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0200275611927112,3.54050593021154e-06,6.24083843930691e-10,1.1000699135588e-13,1e-08,1e-08,1e-08,1e-08
18,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,15,15,100,3000,1500,0,0,0,300000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0768645865318936,1.36647057469831e-05,2.4086760317036e-09,4.2457629061868e-13,1e-08,1e-08,1e-08,1e-08
19,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.100932072766705,1.7925007349921e-05,3.15964119566801e-09,5.56948597980736e-13,1e-08,1e-08,1e-08,1e-08
20,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,30,30,100,45,45,100,3000,4500,0,0,0,300000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.135464951097668,2.41545331311121e-05,4.2577247551483e-09,7.50507316163287e-13,9.9502613237298e-09,1e-08,1e-08,1e-08
21,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,1,1,100,4500,100,0,0,0,450000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0034969056494583,6.172673017955e-07,1.08805463666682e-10,1.91790923860689e-14,1e-08,1e-08,1e-08,1e-08
22,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,5,5,100,4500,500,0,0,0,450000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0163159846574684,2.88676329356543e-06,5.08848794618598e-10,8.96945586617887e-14,1e-08,1e-08,1e-08,1e-08
23,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,15,15,100,4500,1500,0,0,0,450000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0425835922423115,7.53134227822245e-06,1.3275478485623e-09,2.34006289603792e-13,9.88844275352543e-09,1e-08,1e-08,1e-08
24,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,30,30,100,4500,3000,0,0,0,450000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0725854127950212,1.28678128913727e-05,2.26820786616261e-09,3.99816027353518e-13,9.97333138292073e-09,1e-08,1e-08,1e-08
25,100,100,5,5,"rectangle",10000,"large",1,1,150,4,1,0.25,4,45,45,100,45,45,100,4500,4500,0,0,0,450000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.114308656762036,2.03908301317678e-05,3.59429383790825e-09,6.33564632833869e-13,9.99901098750872e-09,1e-08,1e-08,1e-08
26,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",99.3687046160899,100,100,100,0.585007956191077,0.000484180630299556,3.62924876437972e-07,2.72033063991018e-10,9.99699899099049e-09,1e-08,1e-08,1e-08
27,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",89.0492324466547,100,100,100,1.97579006560259,0.00298048340158323,2.23443714535591e-06,1.67483923939552e-09,0.000133691116059906,1e-08,1e-08,1e-08
28,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",48.3101379439276,99.2739701737194,100,100,8.86556579306687,0.0789006034821968,6.21034348573029e-05,4.65508385583502e-08,5.97649241722761e-05,1e-08,1e-08,1e-08
29,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,30,30,100,100,3000,0,0,0,10000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",37.5307015424338,99.2904540018531,100,100,11.4942291283191,0.137198795288252,0.000108083833103579,8.10158017934384e-08,0.000955483426727333,1e-08,1e-08,1e-08
30,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",25.7915784837025,96.1997945214233,100,100,16.6835499870016,0.263374466058236,0.000252538025222518,1.89301872972461e-07,0.00159510631780957,1.00000000000045e-08,1e-08,1e-08
31,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.0920918915996023,6.91360971984148e-05,5.18215180347168e-08,3.88432073827926e-11,1e-08,1e-08,1e-08,1e-08
32,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.315999204763459,0.000238385867558579,1.78684558803748e-07,1.33934351049414e-10,9.9405605273503e-09,1e-08,1e-08,1e-08
33,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,5,5,100,15,15,100,500,1500,0,0,0,50000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",100,100,100,100,0.71952701954266,0.000549716535087213,4.12048158418902e-07,3.08853788427247e-10,1e-08,1e-08,1e-08,1e-08
34,100,100,5,5,"rectangle",10000,"large",1,1,150,4,2,0.5,4,5,5,100,30,30,100,500,3000,0,0,0,50000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,"A",99.4372056236113,100,100,100,1.40873889102774,0.00124564911979045,9.33710686134476e-07,6.99869855096168e-10,1.00000000187109e-08,1e-08,1e-08,1e-08
