"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
2403,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,1,1,100.0705128,15,15,99.99572969,624,9367,0,0,0,62444,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",0.369171979358439,0.204870554400424,0.381915962684303,0.391236384534551,99.3727770276848,99.5421550970621,99.1385269838233,96.2807324729637,0.304138553766239,0.434052899174453,0.343569080710527,0.332844439897444
2404,276,275,58,58,"cross",62444,"large",NA,1,120,4,7,1.75,4,1,1,100.0705128,15,15,99.99572969,624,9367,0,0,0,62444,936660,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",6.03796466255954,11.8575573243187,19.0742359191911,25.1199359425077,93.6073673086455,82.8534828745753,75.6183395276635,65.6072958294585,0.219479433221561,0.19202581123056,0.141405657604769,0.0859855861493793
2407,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,1,1,100.32,15,15,99.98671096,100,1505,0,0,0,10032,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",0.984064154577833,0.0605253951147219,0.232039318658633,0.0575724599963952,99.6464977049947,99.6710526315789,98.6748809237119,98.2030884399556,0.389065506504589,0.514487849232172,0.460540888805804,0.515667378412355
2408,121,120,34,33,"cross",10032,"med1",NA,1,120,4,7,1.75,4,1,1,100.32,15,15,99.98671096,100,1505,0,0,0,10032,150480,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",1.29518841462534,1.38834461220636,2.86542506390002,3.90500066849565,98.0931507281993,97.3939452686733,93.7188500444568,95.779506451592,0.286045587358452,0.383539847275229,0.273378571714833,0.308786518837826
2411,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,1,1,100.1111111,15,15,99.99260136,225,3379,0,0,0,22525,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.25,0.25,0.25,0.25,"all",600,10,"A2",0.442456567061116,0.27354676906871,0.319102282205192,0.22168643106264,99.0588811862125,99.7958668329269,99.793406617142,99.7914182885297,0.410132579920831,0.558699865863754,0.491361144279797,0.379524150785976
2412,175,175,45,45,"cross",22525,"med2",NA,1,120,4,7,1.75,4,1,1,100.1111111,15,15,99.99260136,225,3379,0,0,0,22525,337875,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.2486,0.5,0.332,0.356,0.1,0.7,0.1,0.1,"up",600,10,"A2",3.55802382404564,9.2558528018541,10.4131978919727,10.3579271805385,92.5912531579377,88.9656569424528,89.505279426812,89.0992830152274,0.231795142370073,0.224161742236589,0.214458629077907,0.208212513018739
2415,30,30,11,11,"cross",416,"small",NA,1,120,4,7,1.75,4,1,1,104,15,15,100.6451613,4,62,0,0,0,416,6240,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A2",1.92190848189381,0.481949714333074,0.0056706724542442,0.000406729427464671,96.5220211746567,97.1617702193135,97.3557692307692,97.3557692307692,0.256322127432502,0.290026566818163,0.426712687742796,0.28404253572674
2416,30,30,11,11,"cross",416,"small",NA,1,120,4,7,1.75,4,1,1,104,15,15,100.6451613,4,62,0,0,0,416,6240,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.1,0.7,0.1,0.1,"up",600,10,"A2",1.25075548742664,0.581225283155238,0.0809883553018697,0.000967208050135638,96.0799925550878,94.1237298750515,97.3557692307692,97.3557692307692,0.334559823177084,0.305199690464762,0.361957082291155,0.374012571468241
2419,351,350,91,90,"cross",90090,"XL",NA,1,120,4,7,1.75,4,1,1,99.98890122,15,15,99.99630013,901,13514,0,0,0,90090,1351350,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.25,0.25,0.25,0.25,"all",600,10,"A2",0.396543509220568,0.674060285699026,0.400904925316788,0.566403428068832,99.0927284191784,93.6414961696992,99.081524276544,99.3098566832904,0.320690526486805,0.320258161988853,0.319123861267642,0.41019259112671
2420,351,350,91,90,"cross",90090,"XL",NA,1,120,4,7,1.75,4,1,1,99.98890122,15,15,99.99630013,901,13514,0,0,0,90090,1351350,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.1,0.7,0.1,0.1,"up",600,10,"A2",4.51075545464788,11.9544735736007,17.8335986239958,26.5712368106604,90.3394237666752,83.5854527384985,76.0788011431004,65.8794181111058,0.269793151750365,0.181071511797424,0.137037982013208,0.112031707040815
