"TOTALN","initial_perc_SAV_cover","initial_perc_FP_cover","wind_direction","wind_shape1"
"1","1","1","all","0.01"
"1","1","1","all","0.5"
"1","1","1","up","0.01"
"1","1","1","up","0.5"
"1","1","1","right","0.01"
"1","1","1","right","0.5"
"1","1","5","all","0.01"
"1","1","5","all","0.5"
"1","1","5","up","0.01"
"1","1","5","up","0.5"
"1","1","5","right","0.01"
"1","1","5","right","0.5"
"1","1","15","all","0.01"
"1","1","15","all","0.5"
"1","1","15","up","0.01"
"1","1","15","up","0.5"
"1","1","15","right","0.01"
"1","1","15","right","0.5"
"1","1","30","all","0.01"
"1","1","30","all","0.5"
"1","1","30","up","0.01"
"1","1","30","up","0.5"
"1","1","30","right","0.01"
"1","1","30","right","0.5"
"1","5","1","all","0.01"
"1","5","1","all","0.5"
"1","5","1","up","0.01"
"1","5","1","up","0.5"
"1","5","1","right","0.01"
"1","5","1","right","0.5"
"1","5","5","all","0.01"
"1","5","5","all","0.5"
"1","5","5","up","0.01"
"1","5","5","up","0.5"
"1","5","5","right","0.01"
"1","5","5","right","0.5"
"1","5","15","all","0.01"
"1","5","15","all","0.5"
"1","5","15","up","0.01"
"1","5","15","up","0.5"
"1","5","15","right","0.01"
"1","5","15","right","0.5"
"1","5","30","all","0.01"
"1","5","30","all","0.5"
"1","5","30","up","0.01"
"1","5","30","up","0.5"
"1","5","30","right","0.01"
"1","5","30","right","0.5"
"1","15","1","all","0.01"
"1","15","1","all","0.5"
"1","15","1","up","0.01"
"1","15","1","up","0.5"
"1","15","1","right","0.01"
"1","15","1","right","0.5"
"1","15","5","all","0.01"
"1","15","5","all","0.5"
"1","15","5","up","0.01"
"1","15","5","up","0.5"
"1","15","5","right","0.01"
"1","15","5","right","0.5"
"1","15","15","all","0.01"
"1","15","15","all","0.5"
"1","15","15","up","0.01"
"1","15","15","up","0.5"
"1","15","15","right","0.01"
"1","15","15","right","0.5"
"1","15","30","all","0.01"
"1","15","30","all","0.5"
"1","15","30","up","0.01"
"1","15","30","up","0.5"
"1","15","30","right","0.01"
"1","15","30","right","0.5"
"1","30","1","all","0.01"
"1","30","1","all","0.5"
"1","30","1","up","0.01"
"1","30","1","up","0.5"
"1","30","1","right","0.01"
"1","30","1","right","0.5"
"1","30","5","all","0.01"
"1","30","5","all","0.5"
"1","30","5","up","0.01"
"1","30","5","up","0.5"
"1","30","5","right","0.01"
"1","30","5","right","0.5"
"1","30","15","all","0.01"
"1","30","15","all","0.5"
"1","30","15","up","0.01"
"1","30","15","up","0.5"
"1","30","15","right","0.01"
"1","30","15","right","0.5"
"1","30","30","all","0.01"
"1","30","30","all","0.5"
"1","30","30","up","0.01"
"1","30","30","up","0.5"
"1","30","30","right","0.01"
"1","30","30","right","0.5"
"2","1","1","all","0.01"
"2","1","1","all","0.5"
"2","1","1","up","0.01"
"2","1","1","up","0.5"
"2","1","1","right","0.01"
"2","1","1","right","0.5"
"2","1","5","all","0.01"
"2","1","5","all","0.5"
"2","1","5","up","0.01"
"2","1","5","up","0.5"
"2","1","5","right","0.01"
"2","1","5","right","0.5"
"2","1","15","all","0.01"
"2","1","15","all","0.5"
"2","1","15","up","0.01"
"2","1","15","up","0.5"
"2","1","15","right","0.01"
"2","1","15","right","0.5"
"2","1","30","all","0.01"
"2","1","30","all","0.5"
"2","1","30","up","0.01"
"2","1","30","up","0.5"
"2","1","30","right","0.01"
"2","1","30","right","0.5"
"2","5","1","all","0.01"
"2","5","1","all","0.5"
"2","5","1","up","0.01"
"2","5","1","up","0.5"
"2","5","1","right","0.01"
"2","5","1","right","0.5"
"2","5","5","all","0.01"
"2","5","5","all","0.5"
"2","5","5","up","0.01"
"2","5","5","up","0.5"
"2","5","5","right","0.01"
"2","5","5","right","0.5"
"2","5","15","all","0.01"
"2","5","15","all","0.5"
"2","5","15","up","0.01"
"2","5","15","up","0.5"
"2","5","15","right","0.01"
"2","5","15","right","0.5"
"2","5","30","all","0.01"
"2","5","30","all","0.5"
"2","5","30","up","0.01"
"2","5","30","up","0.5"
"2","5","30","right","0.01"
"2","5","30","right","0.5"
"2","15","1","all","0.01"
"2","15","1","all","0.5"
"2","15","1","up","0.01"
"2","15","1","up","0.5"
"2","15","1","right","0.01"
"2","15","1","right","0.5"
"2","15","5","all","0.01"
"2","15","5","all","0.5"
"2","15","5","up","0.01"
"2","15","5","up","0.5"
"2","15","5","right","0.01"
"2","15","5","right","0.5"
"2","15","15","all","0.01"
"2","15","15","all","0.5"
"2","15","15","up","0.01"
"2","15","15","up","0.5"
"2","15","15","right","0.01"
"2","15","15","right","0.5"
"2","15","30","all","0.01"
"2","15","30","all","0.5"
"2","15","30","up","0.01"
"2","15","30","up","0.5"
"2","15","30","right","0.01"
"2","15","30","right","0.5"
"2","30","1","all","0.01"
"2","30","1","all","0.5"
"2","30","1","up","0.01"
"2","30","1","up","0.5"
"2","30","1","right","0.01"
"2","30","1","right","0.5"
"2","30","5","all","0.01"
"2","30","5","all","0.5"
"2","30","5","up","0.01"
"2","30","5","up","0.5"
"2","30","5","right","0.01"
"2","30","5","right","0.5"
"2","30","15","all","0.01"
"2","30","15","all","0.5"
"2","30","15","up","0.01"
"2","30","15","up","0.5"
"2","30","15","right","0.01"
"2","30","15","right","0.5"
"2","30","30","all","0.01"
"2","30","30","all","0.5"
"2","30","30","up","0.01"
"2","30","30","up","0.5"
"2","30","30","right","0.01"
"2","30","30","right","0.5"
"3","1","1","all","0.01"
"3","1","1","all","0.5"
"3","1","1","up","0.01"
"3","1","1","up","0.5"
"3","1","1","right","0.01"
"3","1","1","right","0.5"
"3","1","5","all","0.01"
"3","1","5","all","0.5"
"3","1","5","up","0.01"
"3","1","5","up","0.5"
"3","1","5","right","0.01"
"3","1","5","right","0.5"
"3","1","15","all","0.01"
"3","1","15","all","0.5"
"3","1","15","up","0.01"
"3","1","15","up","0.5"
"3","1","15","right","0.01"
"3","1","15","right","0.5"
"3","1","30","all","0.01"
"3","1","30","all","0.5"
"3","1","30","up","0.01"
"3","1","30","up","0.5"
"3","1","30","right","0.01"
"3","1","30","right","0.5"
"3","5","1","all","0.01"
"3","5","1","all","0.5"
"3","5","1","up","0.01"
"3","5","1","up","0.5"
"3","5","1","right","0.01"
"3","5","1","right","0.5"
"3","5","5","all","0.01"
"3","5","5","all","0.5"
"3","5","5","up","0.01"
"3","5","5","up","0.5"
"3","5","5","right","0.01"
"3","5","5","right","0.5"
"3","5","15","all","0.01"
"3","5","15","all","0.5"
"3","5","15","up","0.01"
"3","5","15","up","0.5"
"3","5","15","right","0.01"
"3","5","15","right","0.5"
"3","5","30","all","0.01"
"3","5","30","all","0.5"
"3","5","30","up","0.01"
"3","5","30","up","0.5"
"3","5","30","right","0.01"
"3","5","30","right","0.5"
"3","15","1","all","0.01"
"3","15","1","all","0.5"
"3","15","1","up","0.01"
"3","15","1","up","0.5"
"3","15","1","right","0.01"
"3","15","1","right","0.5"
"3","15","5","all","0.01"
"3","15","5","all","0.5"
"3","15","5","up","0.01"
"3","15","5","up","0.5"
"3","15","5","right","0.01"
"3","15","5","right","0.5"
"3","15","15","all","0.01"
"3","15","15","all","0.5"
"3","15","15","up","0.01"
"3","15","15","up","0.5"
"3","15","15","right","0.01"
"3","15","15","right","0.5"
"3","15","30","all","0.01"
"3","15","30","all","0.5"
"3","15","30","up","0.01"
"3","15","30","up","0.5"
"3","15","30","right","0.01"
"3","15","30","right","0.5"
"3","30","1","all","0.01"
"3","30","1","all","0.5"
"3","30","1","up","0.01"
"3","30","1","up","0.5"
"3","30","1","right","0.01"
"3","30","1","right","0.5"
"3","30","5","all","0.01"
"3","30","5","all","0.5"
